replicate,branch,plan_overall,apply_overall,plan_SH1,plan_SC2,plan_REV,plan_AC1,plan_AX1,apply_SH1,apply_SC2,apply_REV,apply_AC1,apply_AX1
shared,atomic_base,0.998,0.915,0.99,1.0,1.0,1.0,1.0,0.575,1.0,1.0,1.0,1.0
0,atomic_control,0.997,0.891,0.985,1.0,1.0,1.0,1.0,0.455,1.0,1.0,1.0,1.0
0,composition_distill,0.971,0.842,0.92,0.995,0.94,1.0,1.0,0.215,0.995,1.0,1.0,1.0
1,atomic_control,0.997,0.911,0.985,1.0,1.0,1.0,1.0,0.555,1.0,1.0,1.0,1.0
1,composition_distill,0.974,0.853,0.94,0.99,0.94,1.0,1.0,0.27,0.995,1.0,1.0,1.0
2,atomic_control,0.997,0.906,0.985,1.0,1.0,1.0,1.0,0.53,1.0,1.0,1.0,1.0
2,composition_distill,0.985,0.855,0.96,0.99,0.975,1.0,1.0,0.28,0.995,1.0,1.0,1.0
3,atomic_control,0.997,0.89,0.985,1.0,1.0,1.0,1.0,0.455,0.995,1.0,1.0,1.0
3,composition_distill,0.979,0.862,0.92,0.985,0.99,1.0,1.0,0.315,0.995,1.0,1.0,1.0
4,atomic_control,0.997,0.911,0.985,1.0,1.0,1.0,1.0,0.555,1.0,1.0,1.0,1.0
4,composition_distill,0.986,0.864,0.94,0.995,0.995,1.0,1.0,0.33,0.99,1.0,1.0,1.0
5,atomic_control,0.998,0.908,0.99,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,1.0
5,composition_distill,0.972,0.866,0.935,0.99,0.935,1.0,1.0,0.335,0.995,1.0,1.0,1.0
