model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,raw,own_target,200,200,0.14407263719231117,0.05554162336765672,0.08,0.21,0.34,0.5,0.745,0.925,1.0,0.05554162336765672,0.12705119478474733,0.14550724608746346,0.16379957635749598,0.18632365172952647,0.2040669245701777,0.21382213964442365
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,unigram,own_target,200,200,0.10509933985572402,0.02877353760511105,0.04,0.175,0.35,0.63,0.795,0.885,1.0,0.02877353760511105,0.0996810353285065,0.1277348111501511,0.15765756172679907,0.19208243307785824,0.2177538370044992,0.2315973038757395
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,unigram,minus_bias_only,200,200,0.051084403079092656,0.015237529114352031,0.02,0.07,0.13,0.225,0.455,0.715,1.0,0.015237529114352031,0.030246407587319862,0.03761517621207491,0.04806019594581068,0.06200340939951209,0.07297029869664629,0.07891015633736616
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,unigram,shuffled_program_bias,200,200,0.1402308963286882,0.07077789374487276,0.08,0.215,0.29,0.49,0.75,0.915,1.0,0.07077789374487276,0.10293279948849303,0.1103007854580115,0.1178217810912283,0.12633371717721587,0.1326239341973266,0.13609786415005337
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,positional,own_target,200,200,0.12379578972080223,0.03843480574359777,0.035,0.26,0.43,0.625,0.845,0.94,1.0,0.03843480574359777,0.14553866669015197,0.2032533315569598,0.2680355781297672,0.33641291253291705,0.3814222978967798,0.4039124503974
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,positional,minus_bias_only,200,200,0.04790441801165233,0.009879533205677266,0.02,0.035,0.125,0.29,0.51,0.86,1.0,0.009879533205677266,0.030245859943722947,0.03795964287133879,0.0492132553575267,0.06593417696624398,0.08015085481103895,0.08832455173989097
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,positional,shuffled_program_bias,200,200,0.11231277925729431,0.041205624294355044,0.035,0.195,0.27,0.55,0.765,0.91,1.0,0.041205624294355044,0.09135202795780695,0.11188909963826969,0.1296559778600709,0.14343498151747938,0.1506599816930931,0.1540600166003804
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,bigram,own_target,200,200,0.11389078144395626,0.030566278671463724,0.02,0.245,0.4,0.6,0.8,0.945,1.0,0.030566278671463724,0.13461915389331783,0.19202916118826863,0.25411334148154485,0.31762104506160244,0.35799197638664365,0.3778125126184483
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,bigram,minus_bias_only,200,200,0.031302288442979706,0.004048404345922573,0.0,0.04,0.11,0.28,0.51,0.78,1.0,0.004048404345922573,0.025109208637412044,0.040264116352260085,0.05979972002113151,0.08556469316305632,0.10599115020847309,0.11697980626995054
Qwen/Qwen3-8B,0,atomic_control,,dev_A,A,3,score,bigram,shuffled_program_bias,200,200,0.11168709258838469,0.03940049698979841,0.035,0.185,0.275,0.515,0.775,0.91,1.0,0.03940049698979841,0.08480079346500176,0.10798348606586369,0.1320000217520275,0.1523149845041241,0.1625779283862885,0.16689631579241598
