split,seed,k,n,atomic_control,composition,delta
capacity_d3_train,0,1,300,0.016666666666666666,0.12333333333333334,0.10666666666666667
capacity_d3_train,1,1,300,0.02666666666666667,0.15,0.12333333333333334
capacity_d3_train,2,1,300,0.01,0.12666666666666668,0.11666666666666667
capacity_d3_train,0,2,300,0.03,0.22333333333333333,0.19333333333333333
capacity_d3_train,1,2,300,0.03,0.25333333333333335,0.22333333333333333
capacity_d3_train,2,2,300,0.03666666666666667,0.19666666666666666,0.16
capacity_d3_train,0,3,300,0.04,0.25,0.21
capacity_d3_train,1,3,300,0.03666666666666667,0.33666666666666667,0.3
capacity_d3_train,2,3,300,0.05,0.27,0.22
capacity_d3_train,0,4,300,0.056666666666666664,0.3233333333333333,0.26666666666666666
capacity_d3_train,1,4,300,0.07666666666666666,0.38666666666666666,0.31
capacity_d3_train,2,4,300,0.056666666666666664,0.33,0.2733333333333333
capacity_d3_train,0,5,300,0.06666666666666667,0.3933333333333333,0.32666666666666666
capacity_d3_train,1,5,300,0.08333333333333333,0.44666666666666666,0.36333333333333334
capacity_d3_train,2,5,300,0.07333333333333333,0.42,0.3466666666666667
capacity_d3_train,0,6,300,0.09666666666666666,0.4633333333333333,0.36666666666666664
capacity_d3_train,1,6,300,0.09333333333333334,0.49333333333333335,0.4
capacity_d3_train,2,6,300,0.08666666666666667,0.4633333333333333,0.37666666666666665
capacity_d3_train,0,7,300,0.12,0.5033333333333333,0.38333333333333336
capacity_d3_train,1,7,300,0.12666666666666668,0.52,0.3933333333333333
capacity_d3_train,2,7,300,0.10333333333333333,0.52,0.4166666666666667
capacity_d3_train,0,8,300,0.14333333333333334,0.5466666666666666,0.4033333333333333
capacity_d3_train,1,8,300,0.14,0.56,0.42
capacity_d3_train,2,8,300,0.12,0.5666666666666667,0.44666666666666666
capacity_d3_train,0,9,300,0.16333333333333333,0.56,0.39666666666666667
capacity_d3_train,1,9,300,0.14333333333333334,0.6,0.45666666666666667
capacity_d3_train,2,9,300,0.13333333333333333,0.6,0.4666666666666667
capacity_d3_train,0,10,300,0.18666666666666668,0.6,0.41333333333333333
capacity_d3_train,1,10,300,0.15,0.63,0.48
capacity_d3_train,2,10,300,0.14666666666666667,0.6166666666666667,0.47
capacity_d3_train,0,11,300,0.19666666666666666,0.6266666666666667,0.43
capacity_d3_train,1,11,300,0.16,0.65,0.49
capacity_d3_train,2,11,300,0.16333333333333333,0.63,0.4666666666666667
capacity_d3_train,0,12,300,0.2,0.65,0.45
capacity_d3_train,1,12,300,0.16666666666666666,0.6766666666666666,0.51
capacity_d3_train,2,12,300,0.17666666666666667,0.67,0.49333333333333335
capacity_d3_train,0,13,300,0.21666666666666667,0.67,0.4533333333333333
capacity_d3_train,1,13,300,0.18,0.7066666666666667,0.5266666666666666
capacity_d3_train,2,13,300,0.19,0.7,0.51
capacity_d3_train,0,14,300,0.24333333333333335,0.6833333333333333,0.44
capacity_d3_train,1,14,300,0.19666666666666666,0.72,0.5233333333333333
capacity_d3_train,2,14,300,0.20333333333333334,0.73,0.5266666666666666
capacity_d3_train,0,15,300,0.25333333333333335,0.71,0.45666666666666667
capacity_d3_train,1,15,300,0.19666666666666666,0.74,0.5433333333333333
capacity_d3_train,2,15,300,0.23,0.7433333333333333,0.5133333333333333
capacity_d3_train,0,16,300,0.27,0.7233333333333334,0.4533333333333333
capacity_d3_train,1,16,300,0.21333333333333335,0.76,0.5466666666666666
capacity_d3_train,2,16,300,0.26,0.76,0.5
capacity_d3_train,0,17,300,0.28,0.74,0.46
capacity_d3_train,1,17,300,0.22333333333333333,0.7866666666666666,0.5633333333333334
capacity_d3_train,2,17,300,0.26666666666666666,0.77,0.5033333333333333
capacity_d3_train,0,18,300,0.29333333333333333,0.7666666666666667,0.47333333333333333
capacity_d3_train,1,18,300,0.24,0.8,0.56
capacity_d3_train,2,18,300,0.28,0.7833333333333333,0.5033333333333333
capacity_d3_train,0,19,300,0.31,0.77,0.46
capacity_d3_train,1,19,300,0.25,0.82,0.57
