split,depth,k,atomic_control,composition,delta,delta_ci95_low,delta_ci95_high,sign_flip_p
capacity_d3_train,3,1,0.017777777777777778,0.13333333333333333,0.11555555555555556,0.09471685729096965,0.13639425382014148,
capacity_d3_train,3,2,0.03222222222222222,0.22444444444444445,0.1922222222222222,0.11352155192706773,0.27092289251737667,
capacity_d3_train,3,3,0.042222222222222223,0.28555555555555556,0.24333333333333332,0.12079372987406631,0.36587293679260036,
capacity_d3_train,3,4,0.06333333333333334,0.3466666666666667,0.2833333333333333,0.22537012005915896,0.3412965466075077,
capacity_d3_train,3,5,0.07444444444444444,0.42,0.34555555555555556,0.2999503432334262,0.39116076787768495,
capacity_d3_train,3,6,0.09222222222222222,0.47333333333333333,0.3811111111111111,0.33861909558643677,0.4236031266357855,
capacity_d3_train,3,7,0.11666666666666665,0.5144444444444445,0.3977777777777778,0.3552857622531035,0.4402697933024521,
capacity_d3_train,3,8,0.13444444444444445,0.5577777777777778,0.42333333333333334,0.36903473223098987,0.4776319344356768,
capacity_d3_train,3,9,0.14666666666666667,0.5866666666666667,0.44,0.3459520641108257,0.5340479358891743,
capacity_d3_train,3,10,0.16111111111111112,0.6155555555555555,0.45444444444444443,0.36513312626869854,0.5437557626201903,
capacity_d3_train,3,11,0.17333333333333334,0.6355555555555555,0.46222222222222226,0.3870872271153353,0.5373572173291092,
capacity_d3_train,3,12,0.1811111111111111,0.6655555555555556,0.48444444444444446,0.4075059527948854,0.5613829360940035,
capacity_d3_train,3,13,0.19555555555555557,0.6922222222222222,0.49666666666666665,0.4011717544848568,0.5921615788484765,
capacity_d3_train,3,14,0.21444444444444444,0.7111111111111111,0.49666666666666665,0.3746878881346789,0.6186454451986544,
capacity_d3_train,3,15,0.22666666666666668,0.7311111111111112,0.5044444444444444,0.3951131146965136,0.6137757741923751,
capacity_d3_train,3,16,0.2477777777777778,0.7477777777777778,0.5,0.3840735734516513,0.6159264265483487,
capacity_d3_train,3,17,0.25666666666666665,0.7655555555555557,0.5088888888888888,0.37998649250462624,0.6377912852731514,
capacity_d3_train,3,18,0.27111111111111114,0.7833333333333333,0.5122222222222222,0.4028908924742914,0.621553551970153,
capacity_d3_train,3,19,0.28444444444444444,0.7944444444444444,0.51,0.37168906576154404,0.648310934238456,
capacity_d3_train,3,20,0.2988888888888889,0.7999999999999999,0.5011111111111112,0.35015824441244353,0.6520639778097788,
capacity_d3_train,3,21,0.30888888888888894,0.8233333333333333,0.5144444444444445,0.31913558035989553,0.7097533085289934,
capacity_d3_train,3,22,0.3233333333333333,0.831111111111111,0.5077777777777778,0.3214521158440815,0.694103439711474,
capacity_d3_train,3,23,0.33666666666666667,0.8422222222222223,0.5055555555555555,0.2807089439871877,0.7304021671239234,
capacity_d3_train,3,24,0.3522222222222222,0.8566666666666666,0.5044444444444445,0.2890994361022101,0.7197894527866788,
capacity_d3_train,3,25,0.3622222222222222,0.8633333333333333,0.5011111111111112,0.2856069612211002,0.7166152610011222,
capacity_d3_train,3,26,0.3733333333333333,0.8722222222222222,0.4988888888888889,0.27913147565534535,0.7186463021224324,
capacity_d3_train,3,27,0.38666666666666666,0.8777777777777778,0.4911111111111111,0.267487608950489,0.7147346132717332,
capacity_d3_train,3,28,0.39666666666666667,0.8866666666666667,0.49,0.274708064981638,0.705291935018362,
capacity_d3_train,3,29,0.4066666666666667,0.8933333333333334,0.48666666666666664,0.28741879315300767,0.6859145401803256,
capacity_d3_train,3,30,0.4166666666666667,0.9022222222222221,0.4855555555555555,0.28590660755562197,0.685204503555489,
capacity_d3_train,3,31,0.4255555555555555,0.9066666666666666,0.4811111111111111,0.2861536275763719,0.6760685946458502,
capacity_d3_train,3,32,0.4344444444444444,0.9155555555555556,0.4811111111111111,0.2865056425795215,0.6757165796427007,0.25
capacity_d3_train,3,33,0.4488888888888889,0.9233333333333333,0.47444444444444445,0.3250898129419351,0.6237990759469538,
capacity_d3_train,3,34,0.4588888888888889,0.9244444444444445,0.46555555555555556,0.3284062214179657,0.6027048896931454,
capacity_d3_train,3,35,0.47,0.9288888888888889,0.4588888888888889,0.34707713780857785,0.5707006399692,
capacity_d3_train,3,36,0.4766666666666666,0.9322222222222223,0.45555555555555555,0.3227236398797828,0.5883874712313283,
capacity_d3_train,3,37,0.49111111111111105,0.9355555555555556,0.4444444444444444,0.31161252876867174,0.5772763601202171,
capacity_d3_train,3,38,0.5,0.9366666666666666,0.4366666666666667,0.30811937397740086,0.5652139593559325,
capacity_d3_train,3,39,0.5088888888888888,0.9388888888888888,0.43,0.29673862340524987,0.5632613765947501,
capacity_d3_train,3,40,0.5133333333333333,0.9455555555555556,0.43222222222222223,0.30120941441779325,0.5632350300266512,
capacity_d3_train,3,41,0.5222222222222223,0.9522222222222222,0.43,0.29168906576154396,0.568310934238456,
capacity_d3_train,3,42,0.5377777777777778,0.9577777777777777,0.42,0.26530825922865825,0.5746917407713417,
capacity_d3_train,3,43,0.5533333333333333,0.9644444444444445,0.41111111111111115,0.3075777752706065,0.5146444469516158,
capacity_d3_train,3,44,0.5633333333333334,0.9666666666666667,0.4033333333333333,0.3078384211515235,0.49882824551514315,
capacity_d3_train,3,45,0.5733333333333334,0.9677777777777777,0.39444444444444443,0.3148773186404713,0.47401157024841756,
capacity_d3_train,3,46,0.5811111111111111,0.9677777777777777,0.3866666666666667,0.30767612183477244,0.465657211498561,
capacity_d3_train,3,47,0.5933333333333334,0.9722222222222223,0.3788888888888889,0.32829444844093214,0.42948332933684563,
capacity_d3_train,3,48,0.6033333333333334,0.9722222222222223,0.3688888888888889,0.31897665188890545,0.4188011258888723,
capacity_d3_train,3,49,0.61,0.9744444444444444,0.3644444444444444,0.318839232122315,0.4100496567665738,
capacity_d3_train,3,50,0.6211111111111111,0.9766666666666667,0.35555555555555557,0.3138781590263837,0.3972329520847274,
capacity_d3_train,3,51,0.6288888888888889,0.9766666666666667,0.3477777777777778,0.3133034776941627,0.38225207786139287,
capacity_d3_train,3,52,0.6355555555555555,0.9777777777777779,0.34222222222222226,0.308757145435282,0.37568729900916253,
capacity_d3_train,3,53,0.6477777777777778,0.9788888888888888,0.3311111111111111,0.30449315940629734,0.3577290628159248,
