split,seed,task_id,atomic_rank,composition_rank,hit32_delta,correct_mass_delta
capacity_d3_train,0,003f757e15f91eeb14db,9,32,0,0.0007969364910977716
capacity_d3_train,0,008b7a6b50b9a482195d,40,1,1,0.0997978825356605
capacity_d3_train,0,01964fa3510592df0119,42,39,0,0.009306022269274803
capacity_d3_train,0,01ac7dcb5f8f658f41cd,24,2,0,0.10077476205614284
capacity_d3_train,0,0274dfa29a2a679f3f31,20,1,0,0.2927428227595342
capacity_d3_train,0,04f66b59f47eeba019ff,50,17,1,0.01718995695666487
capacity_d3_train,0,0600632ab50f84b4a21d,82,1,1,0.14755450881701046
capacity_d3_train,0,0642c8485322e6de643c,103,36,0,0.004842076195645401
capacity_d3_train,0,06aff4ac84d93deba687,14,5,0,0.025190939856189067
capacity_d3_train,0,06b129e89f0c849e34b1,81,6,1,0.049231668637255484
capacity_d3_train,0,06ddc0a57804f07b0663,101,5,1,0.04892856773778602
capacity_d3_train,0,086d76944b2b2970b882,45,54,0,0.003423843200510968
capacity_d3_train,0,08f510f5963dfe3535d8,31,2,0,0.14014541387386648
capacity_d3_train,0,0a2f9f3ef77e2f1ea893,11,2,0,0.16927402565272787
capacity_d3_train,0,0c755962b40f03d1dc10,27,1,0,0.17379130113505423
capacity_d3_train,0,0eb88a23f0e3bb0b2809,68,7,1,0.040361516411966225
capacity_d3_train,0,0f6b276fe1e2f75ed62f,39,4,1,0.15242766727150145
capacity_d3_train,0,11fb635c4f8e150d18f7,3,28,0,-0.016478351316611576
capacity_d3_train,0,1378b93ccdbc363eae10,51,11,1,0.03205311446280031
capacity_d3_train,0,13a0fb55f04397134ae3,104,6,1,0.05225884007690647
capacity_d3_train,0,13a362b1534feebee01e,56,8,1,0.06290795103842181
capacity_d3_train,0,13bfc7c475357c054c15,87,40,0,0.003535500340259981
capacity_d3_train,0,14119511459c97cf9ce7,69,41,0,0.005720045791327017
capacity_d3_train,0,1471c45a2b4d1112441b,8,6,0,0.08652084867412985
capacity_d3_train,0,15d9c1bd9b90a74be8b2,3,4,0,0.06032149948318461
capacity_d3_train,0,167ad39aa3a41e9d217d,15,7,0,0.046262032967549375
capacity_d3_train,0,17b36e984ad39cbf2481,27,2,0,0.16689778703984182
capacity_d3_train,0,188552f078160d68300a,33,2,1,0.20861765915604938
capacity_d3_train,0,19b8dd281e617e0dea22,112,10,1,0.026285592152637798
capacity_d3_train,0,1a5ce978d803b41fb565,18,1,0,0.2566464247269896
capacity_d3_train,0,1c35fa097a57c8e607f7,8,58,-1,0.00017606133188768805
capacity_d3_train,0,1c68bcc85b4aee8d336a,23,1,0,0.19973655645188784
capacity_d3_train,0,1cdcfb4c5c1d908affd5,40,7,1,0.04812131353274292
capacity_d3_train,0,1cff813e6d4ab9d7ef2f,59,1,1,0.2624238272292227
capacity_d3_train,0,1ec3c44a89b5d7fc4d56,64,2,1,0.05860228834404615
capacity_d3_train,0,1fec8ff1647e4ed56617,20,8,0,0.035724717633738676
capacity_d3_train,0,2058335b7a4558079ffe,28,6,0,0.06280845265527056
capacity_d3_train,0,20925cd8cee70beae327,44,19,1,0.015777916287222866
capacity_d3_train,0,258622f21fec547ea9cb,49,8,1,0.0810584674334671
capacity_d3_train,0,26d32b85c72c7d3a01b4,74,10,1,0.03925085381422137
capacity_d3_train,0,273c18dcbd7fa507b907,17,40,-1,0.0002784539827692398
capacity_d3_train,0,27d49094246caf31eb63,27,47,-1,0.006829280054143169
capacity_d3_train,0,286cf1c0897270ddbbfb,10,73,-1,0.002328208773414024
capacity_d3_train,0,2885d829a552da0767c2,44,4,1,0.052556965213385126
capacity_d3_train,0,2a0bbf8b7127b83ee409,8,5,0,0.04039137358186847
