seed,arm,start_step,end_step,fraction_all_wrong,fraction_mixed,fraction_all_correct,mean_group_reward,mean_unique_programs,mean_sample_entropy_nats,reached_training_tasks,unique_correct_training_programs
0,control,1,25,0.88,0.12,0.0,0.06,2.64,0.7056553685816485,3,2
0,control,26,50,0.96,0.04,0.0,0.005,2.52,0.6073973906142954,4,2
0,control,51,75,0.92,0.08,0.0,0.015,2.68,0.6811723599407523,6,3
0,control,76,100,0.76,0.24,0.0,0.065,3.72,1.0502948508624972,12,7
0,control,101,125,0.76,0.24,0.0,0.135,2.84,0.7485875725880873,18,10
0,control,126,150,0.92,0.04,0.04,0.045,3.2,0.9102815574904877,20,10
0,entropy,1,25,0.84,0.16,0.0,0.07,3,0.7932837716694021,4,3
0,entropy,26,50,0.96,0.04,0.0,0.005,2.52,0.6503391044706364,5,3
0,entropy,51,75,0.92,0.08,0.0,0.02,2.6,0.6753031586697072,7,3
0,entropy,76,100,0.8,0.2,0.0,0.05,4,1.1236246776671766,12,8
0,entropy,101,125,0.8,0.16,0.04,0.155,2.68,0.6826708352680007,17,10
0,entropy,126,150,0.88,0.08,0.04,0.06,3.84,1.0824159846484354,20,10
2,control,1,25,0.84,0.16,0.0,0.07,3.08,0.8716305541011798,4,3
2,control,26,50,0.92,0.08,0.0,0.01,2.8,0.7409948603293446,6,4
2,control,51,75,0.96,0.04,0.0,0.005,2.36,0.5932778649845525,7,5
2,control,76,100,0.76,0.16,0.08,0.13,3.32,0.881749409631261,13,8
2,control,101,125,0.76,0.2,0.04,0.165,3.08,0.7915847813014482,19,11
2,control,126,150,0.88,0.08,0.04,0.065,3.32,0.9263901138555559,22,12
2,entropy,1,25,0.8,0.16,0.04,0.08,3.12,0.8613011015596724,5,4
2,entropy,26,50,0.92,0.08,0.0,0.01,3,0.8016791162117858,7,5
2,entropy,51,75,0.92,0.08,0.0,0.02,2.64,0.712286718049156,9,6
2,entropy,76,100,0.72,0.28,0.0,0.1,3.6,0.9671417098150474,16,9
2,entropy,101,125,0.76,0.24,0.0,0.13,3,0.7887339950722742,22,12
2,entropy,126,150,0.88,0.12,0.0,0.065,3.56,0.9959298675719997,25,13
1,control,1,25,0.92,0.08,0.0,0.01,2.72,0.7075698847601496,2,2
1,control,26,50,1.0,0.0,0.0,0.0,3.04,0.7562907024400514,2,2
1,control,51,75,0.92,0.08,0.0,0.01,2.44,0.610328192320233,4,3
1,control,76,100,0.68,0.28,0.04,0.125,3.32,0.9319126356605727,12,6
1,control,101,125,0.84,0.12,0.04,0.075,2.8,0.7376309100630823,16,7
1,control,126,150,0.84,0.16,0.0,0.055,3.2,0.8890855398714596,20,8
1,entropy,1,25,0.88,0.12,0.0,0.035,3.04,0.801848657015215,3,3
1,entropy,26,50,1.0,0.0,0.0,0.0,3.12,0.8175316626791285,3,3
1,entropy,51,75,0.92,0.08,0.0,0.01,2.44,0.6314687150822412,5,4
1,entropy,76,100,0.76,0.24,0.0,0.07,4,1.1092801163769843,11,6
1,entropy,101,125,0.88,0.12,0.0,0.08,3.12,0.8480433314237783,14,7
1,entropy,126,150,0.76,0.24,0.0,0.085,3.76,1.086474633716668,20,10
