seed,arm,k,hit_k
0,control,1,0.015
0,control,2,0.037
0,control,3,0.052
0,control,4,0.072
0,control,5,0.095
0,control,6,0.125
0,control,7,0.157
0,control,8,0.172
0,control,9,0.187
0,control,10,0.202
0,control,11,0.212
0,control,12,0.224
0,control,13,0.234
0,control,14,0.241
0,control,15,0.251
0,control,16,0.27
0,control,17,0.275
0,control,18,0.284
0,control,19,0.294
0,control,20,0.311
0,control,21,0.324
0,control,22,0.338
0,control,23,0.356
0,control,24,0.372
0,control,25,0.386
0,control,26,0.4
0,control,27,0.416
0,control,28,0.434
0,control,29,0.455
0,control,30,0.465
0,control,31,0.482
0,control,32,0.496
0,control,33,0.509
0,control,34,0.521
0,control,35,0.532
0,control,36,0.541
0,control,37,0.551
0,control,38,0.563
0,control,39,0.568
0,control,40,0.584
0,control,41,0.595
0,control,42,0.604
0,control,43,0.611
0,control,44,0.618
0,control,45,0.622
0,control,46,0.628
0,control,47,0.636
0,control,48,0.645
0,control,49,0.652
0,control,50,0.655
0,control,51,0.656
0,control,52,0.666
0,control,53,0.672
0,control,54,0.678
0,control,55,0.688
0,control,56,0.693
0,control,57,0.696
0,control,58,0.702
0,control,59,0.707
0,control,60,0.717
0,control,61,0.722
0,control,62,0.729
0,control,63,0.736
0,control,64,0.744
0,control,65,0.751
0,control,66,0.753
0,control,67,0.756
0,control,68,0.762
0,control,69,0.766
0,control,70,0.77
0,control,71,0.775
0,control,72,0.778
0,control,73,0.785
0,control,74,0.79
0,control,75,0.796
0,control,76,0.804
0,control,77,0.808
0,control,78,0.814
0,control,79,0.819
0,control,80,0.82
0,control,81,0.823
0,control,82,0.824
0,control,83,0.83
0,control,84,0.839
0,control,85,0.845
0,control,86,0.855
0,control,87,0.861
0,control,88,0.871
0,control,89,0.876
0,control,90,0.884
0,control,91,0.891
0,control,92,0.893
0,control,93,0.896
0,control,94,0.903
0,control,95,0.909
0,control,96,0.91
0,control,97,0.915
0,control,98,0.918
0,control,99,0.924
0,control,100,0.928
0,control,101,0.933
0,control,102,0.933
0,control,103,0.934
0,control,104,0.939
0,control,105,0.943
0,control,106,0.945
0,control,107,0.947
0,control,108,0.949
0,control,109,0.956
0,control,110,0.959
0,control,111,0.962
0,control,112,0.966
0,control,113,0.972
0,control,114,0.975
0,control,115,0.978
0,control,116,0.985
0,control,117,0.986
0,control,118,0.99
0,control,119,0.992
0,control,120,0.995
0,control,121,0.999
0,control,122,1.0
0,control,123,1.0
0,control,124,1.0
0,control,125,1.0
0,entropy,1,0.011
0,entropy,2,0.039
0,entropy,3,0.059
0,entropy,4,0.078
0,entropy,5,0.093
0,entropy,6,0.114
0,entropy,7,0.152
0,entropy,8,0.174
0,entropy,9,0.188
0,entropy,10,0.203
0,entropy,11,0.216
0,entropy,12,0.229
0,entropy,13,0.238
0,entropy,14,0.247
0,entropy,15,0.255
0,entropy,16,0.265
0,entropy,17,0.271
0,entropy,18,0.291
0,entropy,19,0.296
0,entropy,20,0.306
0,entropy,21,0.317
0,entropy,22,0.333
0,entropy,23,0.347
0,entropy,24,0.359
0,entropy,25,0.371
0,entropy,26,0.389
0,entropy,27,0.41
0,entropy,28,0.419
0,entropy,29,0.433
0,entropy,30,0.449
0,entropy,31,0.461
0,entropy,32,0.477
0,entropy,33,0.489
0,entropy,34,0.502
0,entropy,35,0.511
0,entropy,36,0.521
0,entropy,37,0.535
0,entropy,38,0.543
0,entropy,39,0.55
0,entropy,40,0.567
0,entropy,41,0.581
0,entropy,42,0.588
