sampler,seed,block,step_end,sample_entropy_nats,collision_fraction,unique_answers,correct_entropy_positive_groups,positive_groups,all_wrong_fraction,mixed_fraction,all_correct_fraction,mean_reward,cumulative_tasks_reached,cumulative_unique_correct_programs
iid,0,1,25,0.17961672182346894,0.8871428571428571,1.48,,0,1.0,0.0,0.0,0.0,0,0
iid,0,2,50,0.4024395330092695,0.7157142857142859,1.84,,0,1.0,0.0,0.0,0.0,0,0
iid,0,3,75,0.3177639681356462,0.7742857142857141,1.64,0.0,1,0.96,0.04,0.0,0.005,1,1
iid,0,4,100,0.1898901073871379,0.8557142857142859,1.36,0.0,1,0.96,0.04,0.0,0.015,2,2
iid,0,5,125,0.2328873161004988,0.8385714285714286,1.52,0.0,5,0.8,0.04,0.16,0.17,7,4
iid,0,6,150,0.4297953643875324,0.7085714285714287,1.96,0.0,2,0.92,0.04,0.04,0.045,9,4
iid,0,7,175,0.23429626610108145,0.842857142857143,1.56,,0,1.0,0.0,0.0,0.0,9,4
iid,0,8,200,0.3314818915631595,0.7757142857142858,1.72,0.0,2,0.92,0.08,0.0,0.045,11,5
iid,0,9,225,0.3827634551048639,0.7542857142857141,1.92,0.0,2,0.92,0.04,0.04,0.045,13,6
iid,0,10,250,0.21772698432357557,0.8528571428571429,1.48,0.0,1,0.96,0.0,0.04,0.04,14,6
iid,0,11,275,0.2999313286620618,0.8,1.68,,0,1.0,0.0,0.0,0.0,14,6
iid,0,12,300,0.35708266559562996,0.7714285714285714,1.88,0.0,2,0.92,0.04,0.04,0.055,16,7
iid,0,13,325,0.3657131277691834,0.7457142857142859,1.8,0.0,2,0.92,0.04,0.04,0.045,18,7
iid,0,14,350,0.20119230513653402,0.86,1.44,0.0,2,0.92,0.0,0.08,0.08,20,7
iid,0,15,375,0.2612499231562962,0.8185714285714285,1.6,0.0,4,0.84,0.04,0.12,0.125,24,8
iid,0,16,400,0.1695527890295892,0.8871428571428571,1.4,0.0,1,0.96,0.04,0.0,0.03,25,8
iid,1,1,25,0.14098966693308623,0.9114285714285714,1.36,,0,1.0,0.0,0.0,0.0,0,0
iid,1,2,50,0.45814788947260915,0.7042857142857143,2.08,0.0,1,0.96,0.04,0.0,0.005,1,1
iid,1,3,75,0.26673841449166724,0.82,1.6,0.0,1,0.96,0.04,0.0,0.005,2,2
iid,1,4,100,0.2639771535891588,0.8314285714285715,1.64,0.0,1,0.96,0.04,0.0,0.035,3,3
iid,1,5,125,0.34097410923056176,0.7642857142857143,1.76,0.0,5,0.8,0.12,0.08,0.145,8,5
iid,1,6,150,0.42620580634000244,0.702857142857143,1.92,0.0,2,0.92,0.08,0.0,0.06,10,5
iid,1,7,175,0.19624986406625985,0.8542857142857142,1.36,,0,1.0,0.0,0.0,0.0,10,5
iid,1,8,200,0.36873345480178676,0.7357142857142857,1.76,0.0,2,0.92,0.04,0.04,0.045,12,6
iid,1,9,225,0.4432567057965015,0.6957142857142857,1.96,0.0,2,0.92,0.04,0.04,0.045,14,7
iid,1,10,250,0.2886297030334842,0.8,1.64,0.0,1,0.96,0.04,0.0,0.005,15,7
iid,1,11,275,0.21306621801240763,0.8614285714285714,1.52,,0,1.0,0.0,0.0,0.0,15,7
iid,1,12,300,0.3248410322457498,0.787142857142857,1.8,0.0,2,0.92,0.04,0.04,0.075,17,8
