sampler,seed,step,block,task_id,group_class,mean_reward,cumulative_tasks_reached,cumulative_unique_correct_programs,correct_count,unique_answers,sample_entropy_nats,collision_fraction,unique_correct_answers,correct_sample_entropy_nats
iid,0,1,1,344e65a062c043b7d4f1,all_wrong,0.0,0,0,0,3,0.7356219397587946,0.5357142857142857,0,
iid,0,2,1,ff8e32ab6bd1b8ccbd62,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,3,1,acd00e67c207b241a9cb,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,4,1,55e041f525a03550457f,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,5,1,7823aeee84310d484a67,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,6,1,2853ebfbf4ff1fef974a,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,7,1,4eb9d2f867a1743e1f5a,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,8,1,eb7b85e4ff7846becf1d,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,9,1,9a4f281f7c0a352a29d6,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,10,1,f1752a0aba86c25de9b1,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,11,1,c0b94ee8f8bd2e7f22d3,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,12,1,8fd5c706abca9e556c21,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,13,1,295c1c6b0676ebeaafb8,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,14,1,92618aede71d2a8a4da7,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,15,1,04be5cc9a0a5f0df27d5,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,16,1,6f371b0dc9c288435fa6,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,17,1,9afd1cb37fbc81c8f3d9,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,18,1,58d0961cf85a13acbb24,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,19,1,fccb2867d126ccc3f76c,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,20,1,77eaf86db56beb9cc52a,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,21,1,16097a9b65351ea2f108,all_wrong,0.0,0,0,0,5,1.4941751382893085,0.14285714285714285,0,
iid,0,22,1,83b86db2e855a54563c0,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,23,1,b0a836d114a63c51f3e4,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,24,1,ecc7e2a8af6bd82a7d27,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,25,1,a850fa6c6828c7ded14c,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,26,2,b4c334126e21ffe44d18,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,27,2,7c2cce2380ac777225f6,all_wrong,0.0,0,0,0,2,0.6615632381579821,0.4642857142857143,0,
iid,0,28,2,9892c1d68cd283371348,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,29,2,037b7eb668db0dd99b57,all_wrong,0.0,0,0,0,3,1.0821955300387671,0.25,0,
iid,0,30,2,a72a59cf237e141977a2,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,31,2,ed74be1f173685366128,all_wrong,0.0,0,0,0,3,0.9002560512685369,0.39285714285714285,0,
iid,0,32,2,25f7e42df573b5f79d2f,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,33,2,60bd24c8aab981664ee8,all_wrong,0.0,0,0,0,2,0.6931471805599453,0.42857142857142855,0,
iid,0,34,2,24f259a8ad87bc3bee7b,all_wrong,0.0,0,0,0,3,0.7356219397587946,0.5357142857142857,0,
iid,0,35,2,7ec1b6d67b420c846378,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,36,2,40cc6b0d2ada49f0a241,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,37,2,d68c968d706a8bfe92dc,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,38,2,3e84221eab9a1a4b91a0,all_wrong,0.0,0,0,0,4,1.0735428464085233,0.35714285714285715,0,
iid,0,39,2,ecc63954c643d1a88a69,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,40,2,ec55a18c3af5c6989c36,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,41,2,98a0bf2389fdbf5ecd98,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,42,2,f665c1af2c96c415ae4f,all_wrong,0.0,0,0,0,2,0.6931471805599453,0.42857142857142855,0,
iid,0,43,2,912342bd3661f2a0edef,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,44,2,40696ae20d712c7ef99c,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,45,2,663615844bbe432868b1,all_wrong,0.0,0,0,0,2,0.6931471805599453,0.42857142857142855,0,
iid,0,46,2,d1dbf37dad1c6d585307,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,47,2,e120fa84b3331cd1bdfe,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,48,2,285cc2d99bc64773d128,all_wrong,0.0,0,0,0,3,0.9002560512685369,0.39285714285714285,0,
iid,0,49,2,c080b7705371fbd18af9,all_wrong,0.0,0,0,0,4,1.2130075659799042,0.25,0,
iid,0,50,2,ed34fcfa3a095d03cb61,all_wrong,0.0,0,0,0,2,0.6615632381579821,0.4642857142857143,0,
iid,0,51,3,3012f8218334b0882801,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,52,3,474db377df5acbb5d0c3,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,53,3,1024659a78eaf340da4e,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,54,3,261af030ee95227ce2c8,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,55,3,3c58229f4e9cbda91be5,all_wrong,0.0,0,0,0,2,0.6931471805599453,0.42857142857142855,0,
iid,0,56,3,584024edc0865d1e66c1,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,57,3,013b955ed2c9d6feeb28,all_wrong,0.0,0,0,0,2,0.5623351446188083,0.5714285714285714,0,
iid,0,58,3,7114759266ada9575ded,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,59,3,fd3d7a2c987035d5e8c1,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,60,3,dc1a6d20f0fa146b62f2,all_wrong,0.0,0,0,0,3,1.0821955300387673,0.25,0,
iid,0,61,3,76b7e95f2c5d8f517843,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,62,3,5b759cdfc67909c722c7,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,63,3,5511a7e3832427045228,all_wrong,0.0,0,0,0,4,1.3208883431493221,0.17857142857142858,0,
iid,0,64,3,670146be6d32a043bf49,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,65,3,6aa54196eb4a8e4964c0,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,66,3,4198150f0b2baf30e430,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,67,3,b376ab06e82f60a7c613,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,68,3,7741fff7c0d9471d9963,all_wrong,0.0,0,0,0,3,0.9002560512685369,0.39285714285714285,0,
iid,0,69,3,f9e7b4b67374cd48b677,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,70,3,33c7285a84f38344a733,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,71,3,ebd9684ddbd2052363b4,all_wrong,0.0,0,0,0,2,0.6615632381579821,0.4642857142857143,0,
iid,0,72,3,6273147a5dd10058351d,all_wrong,0.0,0,0,0,1,-0.0,1.0,0,
iid,0,73,3,e08246e900811f8d8911,all_wrong,0.0,0,0,0,2,0.37677016125643675,0.75,0,
iid,0,74,3,bcc13ad79509a1a2a0fd,mixed,0.125,1,1,1,3,0.9002560512685369,0.39285714285714285,1,-0.0
iid,0,75,3,c99880e9145a7b0a8ef4,all_wrong,0.0,1,1,0,2,0.6931471805599453,0.42857142857142855,0,
iid,0,76,4,6bcbfe751dedfec8fa6a,all_wrong,0.0,1,1,0,1,-0.0,1.0,0,
iid,0,77,4,ed65448eeda9dc2f1ad3,all_wrong,0.0,1,1,0,2,0.37677016125643675,0.75,0,
iid,0,78,4,dd60c963a673ec62bd53,all_wrong,0.0,1,1,0,1,-0.0,1.0,0,
iid,0,79,4,1c7002ecf3a5805fb8ea,all_wrong,0.0,1,1,0,1,-0.0,1.0,0,
