arm,k,mean_hit_fraction,min_seed,max_seed
atomic_control,1,0.022999999999999996,0.022,0.024
atomic_control,2,0.027333333333333334,0.026,0.029
atomic_control,3,0.035500000000000004,0.033,0.039
atomic_control,4,0.049166666666666664,0.046,0.054
atomic_control,5,0.067,0.064,0.069
atomic_control,6,0.09199999999999998,0.089,0.096
atomic_control,7,0.106,0.104,0.109
atomic_control,8,0.12016666666666666,0.115,0.128
atomic_control,9,0.14233333333333334,0.133,0.151
atomic_control,10,0.157,0.151,0.162
atomic_control,11,0.17200000000000001,0.168,0.176
atomic_control,12,0.18333333333333335,0.179,0.187
atomic_control,13,0.19433333333333336,0.192,0.199
atomic_control,14,0.2018333333333334,0.199,0.206
atomic_control,15,0.21383333333333335,0.211,0.216
atomic_control,16,0.226,0.224,0.228
atomic_control,17,0.23649999999999996,0.232,0.24
atomic_control,18,0.24749999999999997,0.24,0.252
atomic_control,19,0.26133333333333336,0.249,0.269
atomic_control,20,0.2751666666666666,0.257,0.282
atomic_control,21,0.2848333333333333,0.27,0.293
atomic_control,22,0.2966666666666667,0.284,0.307
atomic_control,23,0.31150000000000005,0.299,0.323
atomic_control,24,0.32816666666666666,0.311,0.339
atomic_control,25,0.34149999999999997,0.33,0.349
atomic_control,26,0.35433333333333333,0.343,0.362
atomic_control,27,0.3705,0.36,0.379
atomic_control,28,0.38483333333333336,0.376,0.39
atomic_control,29,0.40199999999999997,0.389,0.413
atomic_control,30,0.4203333333333333,0.411,0.428
atomic_control,31,0.43766666666666665,0.426,0.448
atomic_control,32,0.4531666666666667,0.435,0.46
atomic_control,33,0.466,0.451,0.475
atomic_control,34,0.4788333333333333,0.463,0.487
atomic_control,35,0.49333333333333335,0.478,0.503
atomic_control,36,0.504,0.496,0.511
atomic_control,37,0.5175,0.512,0.525
atomic_control,38,0.5295000000000001,0.524,0.537
atomic_control,39,0.5426666666666666,0.537,0.548
atomic_control,40,0.5546666666666668,0.549,0.561
atomic_control,41,0.5631666666666667,0.557,0.568
atomic_control,42,0.5731666666666667,0.565,0.58
atomic_control,43,0.5821666666666666,0.578,0.587
atomic_control,44,0.5916666666666667,0.584,0.598
atomic_control,45,0.6011666666666667,0.598,0.605
atomic_control,46,0.6074999999999999,0.605,0.613
atomic_control,47,0.6168333333333332,0.613,0.624
atomic_control,48,0.6271666666666667,0.621,0.634
atomic_control,49,0.6371666666666668,0.631,0.645
atomic_control,50,0.6470000000000001,0.637,0.655
atomic_control,51,0.6588333333333334,0.651,0.668
atomic_control,52,0.6688333333333333,0.659,0.677
atomic_control,53,0.6803333333333333,0.668,0.69
atomic_control,54,0.6890000000000001,0.681,0.7
atomic_control,55,0.6963333333333331,0.69,0.704
atomic_control,56,0.7045,0.696,0.715
atomic_control,57,0.7143333333333333,0.706,0.723
atomic_control,58,0.7203333333333332,0.711,0.728
atomic_control,59,0.7284999999999999,0.719,0.736
atomic_control,60,0.7355,0.729,0.744
atomic_control,61,0.7425,0.736,0.751
atomic_control,62,0.7486666666666667,0.741,0.757
atomic_control,63,0.7538333333333332,0.746,0.762
atomic_control,64,0.758,0.751,0.765
atomic_control,65,0.7616666666666667,0.753,0.766
atomic_control,66,0.7675000000000001,0.756,0.772
atomic_control,67,0.7735,0.768,0.777
atomic_control,68,0.7775,0.772,0.782
atomic_control,69,0.7838333333333334,0.778,0.791
atomic_control,70,0.7868333333333335,0.782,0.794
atomic_control,71,0.79,0.783,0.798
atomic_control,72,0.7945000000000001,0.789,0.803
atomic_control,73,0.7991666666666668,0.791,0.806
atomic_control,74,0.8041666666666667,0.798,0.809
atomic_control,75,0.8078333333333333,0.802,0.813
atomic_control,76,0.8113333333333334,0.804,0.817
atomic_control,77,0.8155,0.806,0.821
atomic_control,78,0.8198333333333333,0.811,0.827
atomic_control,79,0.8233333333333334,0.814,0.832
atomic_control,80,0.8278333333333333,0.818,0.836
atomic_control,81,0.8323333333333333,0.824,0.84
atomic_control,82,0.8371666666666666,0.826,0.844
atomic_control,83,0.8426666666666667,0.835,0.847
atomic_control,84,0.8466666666666667,0.838,0.854
atomic_control,85,0.8506666666666666,0.843,0.86
atomic_control,86,0.855,0.846,0.864
atomic_control,87,0.8596666666666666,0.855,0.867
atomic_control,88,0.8638333333333333,0.859,0.872
atomic_control,89,0.8668333333333332,0.861,0.874
atomic_control,90,0.8715,0.864,0.883
atomic_control,91,0.8743333333333334,0.867,0.887
atomic_control,92,0.8775,0.867,0.889
atomic_control,93,0.8816666666666667,0.868,0.894
atomic_control,94,0.8861666666666667,0.873,0.898
atomic_control,95,0.8914999999999998,0.88,0.902
atomic_control,96,0.8985,0.887,0.909
atomic_control,97,0.9046666666666666,0.892,0.916
atomic_control,98,0.911,0.901,0.918
atomic_control,99,0.9151666666666668,0.907,0.923
atomic_control,100,0.9213333333333334,0.915,0.928
atomic_control,101,0.9249999999999999,0.922,0.93
atomic_control,102,0.9278333333333334,0.923,0.93
atomic_control,103,0.9308333333333335,0.929,0.932
atomic_control,104,0.9341666666666667,0.931,0.937
atomic_control,105,0.9378333333333334,0.935,0.943
atomic_control,106,0.941,0.937,0.945
atomic_control,107,0.9459999999999998,0.944,0.949
atomic_control,108,0.9473333333333332,0.945,0.95
atomic_control,109,0.9494999999999999,0.947,0.954
atomic_control,110,0.9521666666666667,0.95,0.958
atomic_control,111,0.955,0.953,0.96
atomic_control,112,0.9584999999999999,0.957,0.961
atomic_control,113,0.9606666666666667,0.959,0.964
atomic_control,114,0.9623333333333334,0.961,0.965
atomic_control,115,0.9661666666666666,0.963,0.971
atomic_control,116,0.9685,0.966,0.973
atomic_control,117,0.9725,0.969,0.978
atomic_control,118,0.9791666666666666,0.971,0.988
atomic_control,119,0.9843333333333334,0.977,0.992
atomic_control,120,0.9908333333333333,0.987,0.996
atomic_control,121,0.9975,0.996,0.999
atomic_control,122,1.0,1.0,1.0
atomic_control,123,1.0,1.0,1.0
atomic_control,124,1.0,1.0,1.0
atomic_control,125,1.0,1.0,1.0
composition_distill,1,0.09999999999999999,0.093,0.108
composition_distill,2,0.16516666666666668,0.149,0.177
composition_distill,3,0.21416666666666664,0.19,0.236
