replicate,arm,k,hit_fraction
0,atomic_control,1,0.023
0,atomic_control,2,0.028
0,atomic_control,3,0.033
0,atomic_control,4,0.046
0,atomic_control,5,0.064
0,atomic_control,6,0.096
0,atomic_control,7,0.109
0,atomic_control,8,0.128
0,atomic_control,9,0.149
0,atomic_control,10,0.162
0,atomic_control,11,0.176
0,atomic_control,12,0.187
0,atomic_control,13,0.194
0,atomic_control,14,0.206
0,atomic_control,15,0.215
0,atomic_control,16,0.224
0,atomic_control,17,0.233
0,atomic_control,18,0.24
0,atomic_control,19,0.249
0,atomic_control,20,0.257
0,atomic_control,21,0.27
0,atomic_control,22,0.284
0,atomic_control,23,0.299
0,atomic_control,24,0.311
0,atomic_control,25,0.33
0,atomic_control,26,0.343
0,atomic_control,27,0.36
0,atomic_control,28,0.376
0,atomic_control,29,0.389
0,atomic_control,30,0.411
0,atomic_control,31,0.426
0,atomic_control,32,0.435
0,atomic_control,33,0.451
0,atomic_control,34,0.463
0,atomic_control,35,0.478
0,atomic_control,36,0.496
0,atomic_control,37,0.512
0,atomic_control,38,0.526
0,atomic_control,39,0.541
0,atomic_control,40,0.549
0,atomic_control,41,0.557
0,atomic_control,42,0.565
0,atomic_control,43,0.578
0,atomic_control,44,0.584
0,atomic_control,45,0.598
0,atomic_control,46,0.605
0,atomic_control,47,0.613
0,atomic_control,48,0.621
0,atomic_control,49,0.631
0,atomic_control,50,0.637
0,atomic_control,51,0.651
0,atomic_control,52,0.659
0,atomic_control,53,0.668
0,atomic_control,54,0.682
0,atomic_control,55,0.69
0,atomic_control,56,0.696
0,atomic_control,57,0.706
0,atomic_control,58,0.711
0,atomic_control,59,0.727
0,atomic_control,60,0.735
0,atomic_control,61,0.739
0,atomic_control,62,0.741
0,atomic_control,63,0.746
0,atomic_control,64,0.751
0,atomic_control,65,0.753
0,atomic_control,66,0.756
0,atomic_control,67,0.768
0,atomic_control,68,0.772
0,atomic_control,69,0.778
0,atomic_control,70,0.782
0,atomic_control,71,0.783
0,atomic_control,72,0.789
0,atomic_control,73,0.794
0,atomic_control,74,0.8
0,atomic_control,75,0.802
0,atomic_control,76,0.808
0,atomic_control,77,0.81
0,atomic_control,78,0.815
0,atomic_control,79,0.818
0,atomic_control,80,0.826
0,atomic_control,81,0.827
0,atomic_control,82,0.832
0,atomic_control,83,0.839
0,atomic_control,84,0.841
0,atomic_control,85,0.844
0,atomic_control,86,0.852
0,atomic_control,87,0.86
0,atomic_control,88,0.863
0,atomic_control,89,0.865
0,atomic_control,90,0.87
0,atomic_control,91,0.871
0,atomic_control,92,0.877
0,atomic_control,93,0.884
0,atomic_control,94,0.888
0,atomic_control,95,0.897
0,atomic_control,96,0.905
0,atomic_control,97,0.911
0,atomic_control,98,0.917
0,atomic_control,99,0.923
0,atomic_control,100,0.928
0,atomic_control,101,0.93
0,atomic_control,102,0.93
0,atomic_control,103,0.932
0,atomic_control,104,0.937
0,atomic_control,105,0.943
0,atomic_control,106,0.945
0,atomic_control,107,0.949
0,atomic_control,108,0.95
0,atomic_control,109,0.954
0,atomic_control,110,0.958
0,atomic_control,111,0.96
0,atomic_control,112,0.961
0,atomic_control,113,0.964
0,atomic_control,114,0.965
0,atomic_control,115,0.971
0,atomic_control,116,0.973
0,atomic_control,117,0.978
0,atomic_control,118,0.988
0,atomic_control,119,0.992
0,atomic_control,120,0.996
0,atomic_control,121,0.999
0,atomic_control,122,1.0
0,atomic_control,123,1.0
0,atomic_control,124,1.0
0,atomic_control,125,1.0
0,composition_distill,1,0.1
0,composition_distill,2,0.156
0,composition_distill,3,0.211
0,composition_distill,4,0.246
0,composition_distill,5,0.276
0,composition_distill,6,0.31
0,composition_distill,7,0.33
0,composition_distill,8,0.358
0,composition_distill,9,0.381
0,composition_distill,10,0.413
0,composition_distill,11,0.44
0,composition_distill,12,0.455
0,composition_distill,13,0.469
0,composition_distill,14,0.488
0,composition_distill,15,0.508
0,composition_distill,16,0.527
0,composition_distill,17,0.544
0,composition_distill,18,0.553
0,composition_distill,19,0.57
0,composition_distill,20,0.582
0,composition_distill,21,0.591
0,composition_distill,22,0.6
0,composition_distill,23,0.613
0,composition_distill,24,0.63
0,composition_distill,25,0.648
0,composition_distill,26,0.661
0,composition_distill,27,0.677
0,composition_distill,28,0.689
0,composition_distill,29,0.703
0,composition_distill,30,0.711
0,composition_distill,31,0.725
0,composition_distill,32,0.737
0,composition_distill,33,0.751
0,composition_distill,34,0.759
0,composition_distill,35,0.77
0,composition_distill,36,0.787
0,composition_distill,37,0.803
0,composition_distill,38,0.814
0,composition_distill,39,0.823
0,composition_distill,40,0.83
0,composition_distill,41,0.84
0,composition_distill,42,0.845
0,composition_distill,43,0.851
0,composition_distill,44,0.854
0,composition_distill,45,0.862
0,composition_distill,46,0.868
0,composition_distill,47,0.872
0,composition_distill,48,0.881
0,composition_distill,49,0.889
0,composition_distill,50,0.896
0,composition_distill,51,0.901
0,composition_distill,52,0.904
0,composition_distill,53,0.911
0,composition_distill,54,0.914
0,composition_distill,55,0.917
0,composition_distill,56,0.919
0,composition_distill,57,0.921
0,composition_distill,58,0.924
0,composition_distill,59,0.93
0,composition_distill,60,0.931
0,composition_distill,61,0.935
0,composition_distill,62,0.937
0,composition_distill,63,0.939
0,composition_distill,64,0.944
0,composition_distill,65,0.946
0,composition_distill,66,0.95
