seed,arm,operation,plan_accuracy,apply_accuracy,plan_drop_from_base,apply_drop_from_base
83000,random,SH1,0.795,0.315,0.19499999999999995,0.25999999999999995
83000,random,AX1,1.0,1.0,0.0,0.0
83000,random,AC1,1.0,1.0,0.0,0.0
83000,random,SC2,0.99,0.805,0.010000000000000009,0.19499999999999995
83000,random,REV,0.395,0.855,0.605,0.14500000000000002
83000,diverse,SH1,0.85,0.275,0.14,0.29999999999999993
83000,diverse,AX1,1.0,1.0,0.0,0.0
83000,diverse,AC1,1.0,1.0,0.0,0.0
83000,diverse,SC2,0.99,0.795,0.010000000000000009,0.20499999999999996
83000,diverse,REV,0.475,0.92,0.525,0.07999999999999996
83001,random,SH1,0.86,0.32,0.13,0.25499999999999995
83001,random,AX1,1.0,1.0,0.0,0.0
83001,random,AC1,1.0,1.0,0.0,0.0
83001,random,SC2,0.99,0.865,0.010000000000000009,0.135
83001,random,REV,0.39,0.91,0.61,0.08999999999999997
83001,diverse,SH1,0.845,0.32,0.14500000000000002,0.25499999999999995
83001,diverse,AX1,1.0,1.0,0.0,0.0
83001,diverse,AC1,1.0,1.0,0.0,0.0
83001,diverse,SC2,0.985,0.83,0.015000000000000013,0.17000000000000004
83001,diverse,REV,0.57,0.825,0.43000000000000005,0.17500000000000004
83002,random,SH1,0.765,0.29,0.22499999999999998,0.285
83002,random,AX1,1.0,1.0,0.0,0.0
83002,random,AC1,1.0,1.0,0.0,0.0
83002,random,SC2,0.99,0.9,0.010000000000000009,0.09999999999999998
83002,random,REV,0.41,0.995,0.5900000000000001,0.0050000000000000044
83002,diverse,SH1,0.845,0.32,0.14500000000000002,0.25499999999999995
83002,diverse,AX1,1.0,1.0,0.0,0.0
83002,diverse,AC1,1.0,1.0,0.0,0.0
83002,diverse,SC2,0.985,0.85,0.015000000000000013,0.15000000000000002
83002,diverse,REV,0.37,0.895,0.63,0.10499999999999998
83003,random,SH1,0.855,0.31,0.135,0.26499999999999996
83003,random,AX1,1.0,1.0,0.0,0.0
83003,random,AC1,1.0,1.0,0.0,0.0
83003,random,SC2,0.99,0.805,0.010000000000000009,0.19499999999999995
83003,random,REV,0.545,0.995,0.45499999999999996,0.0050000000000000044
83003,diverse,SH1,0.9,0.32,0.08999999999999997,0.25499999999999995
83003,diverse,AX1,1.0,1.0,0.0,0.0
83003,diverse,AC1,1.0,1.0,0.0,0.0
83003,diverse,SC2,0.985,0.815,0.015000000000000013,0.18500000000000005
83003,diverse,REV,0.4,0.86,0.6,0.14
83004,random,SH1,0.805,0.31,0.18499999999999994,0.26499999999999996
83004,random,AX1,1.0,1.0,0.0,0.0
83004,random,AC1,1.0,1.0,0.0,0.0
83004,random,SC2,0.99,0.845,0.010000000000000009,0.15500000000000003
83004,random,REV,0.58,0.605,0.42000000000000004,0.395
83004,diverse,SH1,0.86,0.27,0.13,0.30499999999999994
83004,diverse,AX1,1.0,1.0,0.0,0.0
83004,diverse,AC1,1.0,1.0,0.0,0.0
83004,diverse,SC2,0.985,0.755,0.015000000000000013,0.245
83004,diverse,REV,0.57,0.805,0.43000000000000005,0.19499999999999995
83005,random,SH1,0.87,0.335,0.12,0.23999999999999994
83005,random,AX1,1.0,1.0,0.0,0.0
83005,random,AC1,1.0,1.0,0.0,0.0
83005,random,SC2,0.985,0.855,0.015000000000000013,0.14500000000000002
83005,random,REV,0.62,0.28,0.38,0.72
83005,diverse,SH1,0.84,0.325,0.15000000000000002,0.24999999999999994
83005,diverse,AX1,1.0,1.0,0.0,0.0
83005,diverse,AC1,1.0,1.0,0.0,0.0
83005,diverse,SC2,0.965,0.83,0.03500000000000003,0.17000000000000004
83005,diverse,REV,0.53,0.815,0.47,0.18500000000000005
