arm,k,mean_hit_fraction,min_seed,max_seed
random,1,0.07183333333333333,0.049,0.086
random,2,0.12366666666666666,0.109,0.143
random,3,0.1565,0.141,0.174
random,4,0.18133333333333332,0.164,0.197
random,5,0.2061666666666667,0.181,0.226
random,6,0.2285,0.21,0.249
random,7,0.24783333333333335,0.23,0.26
random,8,0.266,0.252,0.279
random,9,0.2841666666666666,0.272,0.297
random,10,0.301,0.285,0.314
random,11,0.31833333333333336,0.302,0.328
random,12,0.3365,0.322,0.347
random,13,0.3563333333333334,0.339,0.368
random,14,0.3718333333333334,0.354,0.387
random,15,0.38450000000000006,0.364,0.399
random,16,0.399,0.385,0.412
random,17,0.4148333333333332,0.402,0.43
random,18,0.4306666666666667,0.419,0.445
random,19,0.4471666666666667,0.431,0.461
random,20,0.46116666666666667,0.45,0.472
random,21,0.47383333333333333,0.464,0.482
random,22,0.4885,0.478,0.498
random,23,0.5046666666666667,0.496,0.511
random,24,0.5176666666666667,0.511,0.527
random,25,0.5291666666666667,0.524,0.533
random,26,0.5435000000000001,0.534,0.552
random,27,0.5561666666666667,0.541,0.565
random,28,0.5693333333333332,0.558,0.582
random,29,0.5804999999999999,0.57,0.592
random,30,0.594,0.583,0.604
random,31,0.6046666666666667,0.596,0.61
random,32,0.6154999999999999,0.606,0.621
random,33,0.6263333333333334,0.616,0.633
random,34,0.6368333333333333,0.628,0.643
random,35,0.6466666666666666,0.638,0.654
random,36,0.6545,0.646,0.659
random,37,0.664,0.654,0.67
random,38,0.6738333333333334,0.663,0.685
random,39,0.6848333333333333,0.675,0.698
random,40,0.6956666666666665,0.685,0.712
random,41,0.7048333333333333,0.69,0.719
random,42,0.7141666666666667,0.698,0.728
random,43,0.7256666666666666,0.707,0.737
random,44,0.737,0.718,0.747
random,45,0.7469999999999999,0.726,0.759
random,46,0.7559999999999999,0.738,0.77
random,47,0.7633333333333335,0.745,0.78
random,48,0.7733333333333333,0.76,0.784
random,49,0.7823333333333334,0.77,0.796
random,50,0.7898333333333333,0.776,0.808
random,51,0.797,0.782,0.814
random,52,0.8035000000000001,0.793,0.82
random,53,0.8106666666666666,0.798,0.824
random,54,0.8165,0.805,0.828
random,55,0.8238333333333333,0.816,0.832
random,56,0.8293333333333334,0.823,0.835
random,57,0.8368333333333333,0.831,0.845
random,58,0.843,0.837,0.854
random,59,0.8488333333333333,0.845,0.855
random,60,0.8531666666666666,0.848,0.859
random,61,0.8569999999999999,0.854,0.863
random,62,0.8631666666666667,0.859,0.869
random,63,0.8673333333333333,0.863,0.872
random,64,0.8718333333333335,0.867,0.878
random,65,0.8756666666666667,0.868,0.881
random,66,0.8809999999999999,0.873,0.887
random,67,0.8855000000000001,0.875,0.894
random,68,0.8883333333333332,0.877,0.898
random,69,0.8921666666666668,0.879,0.903
random,70,0.8973333333333334,0.887,0.907
random,71,0.9008333333333334,0.888,0.91
random,72,0.9041666666666667,0.893,0.913
random,73,0.9091666666666667,0.895,0.92
random,74,0.9115000000000001,0.899,0.925
random,75,0.9145,0.903,0.928
random,76,0.9188333333333333,0.907,0.933
random,77,0.9226666666666667,0.909,0.936
random,78,0.927,0.915,0.938
random,79,0.9303333333333333,0.918,0.941
random,80,0.9335000000000001,0.924,0.945
random,81,0.9358333333333334,0.925,0.95
random,82,0.9380000000000001,0.925,0.951
random,83,0.9413333333333332,0.93,0.953
random,84,0.9441666666666665,0.933,0.955
random,85,0.9458333333333333,0.933,0.958
random,86,0.9485,0.936,0.96
random,87,0.9508333333333332,0.941,0.962
random,88,0.9535,0.948,0.963
random,89,0.9568333333333333,0.953,0.964
random,90,0.9588333333333333,0.955,0.965
random,91,0.961,0.957,0.965
random,92,0.9639999999999999,0.96,0.968
random,93,0.9656666666666666,0.962,0.968
random,94,0.9676666666666667,0.965,0.971
random,95,0.9694999999999999,0.965,0.973
random,96,0.9706666666666667,0.967,0.973
random,97,0.9731666666666667,0.968,0.977
random,98,0.9738333333333333,0.969,0.977
random,99,0.975,0.969,0.98
random,100,0.9775,0.972,0.982
random,101,0.9784999999999999,0.973,0.984
random,102,0.9793333333333334,0.973,0.985
random,103,0.9813333333333333,0.975,0.989
random,104,0.9828333333333333,0.977,0.99
random,105,0.9845,0.98,0.991
random,106,0.9856666666666666,0.981,0.992
random,107,0.988,0.982,0.993
random,108,0.9895,0.985,0.994
random,109,0.9911666666666666,0.987,0.995
random,110,0.9925,0.989,0.996
random,111,0.9938333333333333,0.991,0.997
random,112,0.9941666666666666,0.992,0.997
random,113,0.9958333333333332,0.994,0.997
random,114,0.9975,0.995,0.999
random,115,0.9990000000000001,0.998,1.0
random,116,0.9993333333333334,0.998,1.0
random,117,0.9998333333333335,0.999,1.0
random,118,1.0,1.0,1.0
random,119,1.0,1.0,1.0
random,120,1.0,1.0,1.0
random,121,1.0,1.0,1.0
random,122,1.0,1.0,1.0
random,123,1.0,1.0,1.0
random,124,1.0,1.0,1.0
random,125,1.0,1.0,1.0
diverse,1,0.08216666666666668,0.069,0.1
diverse,2,0.12716666666666668,0.111,0.147
diverse,3,0.159,0.146,0.179
diverse,4,0.19183333333333333,0.175,0.214
diverse,5,0.21516666666666664,0.203,0.239
diverse,6,0.23466666666666666,0.22,0.254
diverse,7,0.256,0.235,0.276
diverse,8,0.27649999999999997,0.259,0.293
diverse,9,0.29433333333333334,0.278,0.303
diverse,10,0.3106666666666667,0.292,0.32
diverse,11,0.32666666666666666,0.311,0.337
diverse,12,0.3426666666666667,0.328,0.355
diverse,13,0.35733333333333334,0.341,0.372
diverse,14,0.3721666666666667,0.352,0.386
diverse,15,0.3903333333333334,0.37,0.406
diverse,16,0.40833333333333327,0.389,0.421
diverse,17,0.4235,0.409,0.435
diverse,18,0.43683333333333335,0.427,0.447
diverse,19,0.45166666666666666,0.441,0.465
diverse,20,0.4675,0.455,0.488
diverse,21,0.48216666666666663,0.468,0.501
diverse,22,0.49566666666666664,0.482,0.516
diverse,23,0.5086666666666667,0.495,0.529
diverse,24,0.519,0.505,0.539
diverse,25,0.5316666666666667,0.515,0.552
diverse,26,0.5453333333333333,0.525,0.562
diverse,27,0.5581666666666667,0.538,0.58
diverse,28,0.568,0.547,0.597
diverse,29,0.5776666666666667,0.553,0.603
diverse,30,0.5903333333333333,0.567,0.613
diverse,31,0.604,0.582,0.628
