seed,arm,k,hit_fraction
83000,random,1,0.07
83000,random,2,0.11
83000,random,3,0.141
83000,random,4,0.164
83000,random,5,0.195
83000,random,6,0.217
83000,random,7,0.243
83000,random,8,0.267
83000,random,9,0.294
83000,random,10,0.314
83000,random,11,0.328
83000,random,12,0.347
83000,random,13,0.368
83000,random,14,0.387
83000,random,15,0.398
83000,random,16,0.409
83000,random,17,0.418
83000,random,18,0.43
83000,random,19,0.451
83000,random,20,0.465
83000,random,21,0.478
83000,random,22,0.491
83000,random,23,0.51
83000,random,24,0.527
83000,random,25,0.533
83000,random,26,0.552
83000,random,27,0.565
83000,random,28,0.572
83000,random,29,0.589
83000,random,30,0.604
83000,random,31,0.61
83000,random,32,0.619
83000,random,33,0.627
83000,random,34,0.637
83000,random,35,0.649
83000,random,36,0.657
83000,random,37,0.666
83000,random,38,0.676
83000,random,39,0.687
83000,random,40,0.698
83000,random,41,0.709
83000,random,42,0.717
83000,random,43,0.735
83000,random,44,0.747
83000,random,45,0.755
83000,random,46,0.765
83000,random,47,0.773
83000,random,48,0.783
83000,random,49,0.787
83000,random,50,0.793
83000,random,51,0.801
83000,random,52,0.806
83000,random,53,0.816
83000,random,54,0.82
83000,random,55,0.828
83000,random,56,0.834
83000,random,57,0.841
83000,random,58,0.846
83000,random,59,0.85
83000,random,60,0.856
83000,random,61,0.86
83000,random,62,0.869
83000,random,63,0.872
83000,random,64,0.875
83000,random,65,0.879
83000,random,66,0.883
83000,random,67,0.887
83000,random,68,0.892
83000,random,69,0.898
83000,random,70,0.902
83000,random,71,0.905
83000,random,72,0.907
83000,random,73,0.915
83000,random,74,0.916
83000,random,75,0.92
83000,random,76,0.925
83000,random,77,0.932
83000,random,78,0.938
83000,random,79,0.939
83000,random,80,0.94
83000,random,81,0.94
83000,random,82,0.941
83000,random,83,0.944
83000,random,84,0.947
83000,random,85,0.949
83000,random,86,0.949
83000,random,87,0.952
83000,random,88,0.954
83000,random,89,0.954
83000,random,90,0.955
83000,random,91,0.957
83000,random,92,0.96
83000,random,93,0.963
83000,random,94,0.965
83000,random,95,0.967
83000,random,96,0.968
83000,random,97,0.971
83000,random,98,0.972
83000,random,99,0.972
83000,random,100,0.973
83000,random,101,0.973
83000,random,102,0.973
83000,random,103,0.976
83000,random,104,0.981
83000,random,105,0.981
83000,random,106,0.982
83000,random,107,0.987
83000,random,108,0.989
83000,random,109,0.99
83000,random,110,0.992
83000,random,111,0.993
83000,random,112,0.994
83000,random,113,0.996
83000,random,114,0.999
83000,random,115,0.999
83000,random,116,0.999
83000,random,117,1.0
83000,random,118,1.0
83000,random,119,1.0
83000,random,120,1.0
83000,random,121,1.0
83000,random,122,1.0
83000,random,123,1.0
83000,random,124,1.0
83000,random,125,1.0
83000,diverse,1,0.1
83000,diverse,2,0.147
83000,diverse,3,0.179
83000,diverse,4,0.214
83000,diverse,5,0.239
83000,diverse,6,0.254
83000,diverse,7,0.276
83000,diverse,8,0.288
83000,diverse,9,0.301
83000,diverse,10,0.316
83000,diverse,11,0.331
83000,diverse,12,0.35
83000,diverse,13,0.372
83000,diverse,14,0.383
83000,diverse,15,0.406
83000,diverse,16,0.417
83000,diverse,17,0.432
83000,diverse,18,0.445
83000,diverse,19,0.459
83000,diverse,20,0.479
83000,diverse,21,0.495
83000,diverse,22,0.512
83000,diverse,23,0.529
83000,diverse,24,0.537
83000,diverse,25,0.552
83000,diverse,26,0.561
83000,diverse,27,0.572
83000,diverse,28,0.584
83000,diverse,29,0.603
83000,diverse,30,0.613
83000,diverse,31,0.628
83000,diverse,32,0.636
83000,diverse,33,0.648
83000,diverse,34,0.657
83000,diverse,35,0.664
83000,diverse,36,0.671
83000,diverse,37,0.678
83000,diverse,38,0.684
83000,diverse,39,0.693
83000,diverse,40,0.709
83000,diverse,41,0.718
83000,diverse,42,0.726
83000,diverse,43,0.736
83000,diverse,44,0.743
83000,diverse,45,0.746
83000,diverse,46,0.752
83000,diverse,47,0.763
83000,diverse,48,0.773
83000,diverse,49,0.779
83000,diverse,50,0.79
83000,diverse,51,0.796
83000,diverse,52,0.804
83000,diverse,53,0.812
83000,diverse,54,0.817
83000,diverse,55,0.821
83000,diverse,56,0.832
83000,diverse,57,0.841
83000,diverse,58,0.844
83000,diverse,59,0.848
83000,diverse,60,0.861
83000,diverse,61,0.868
83000,diverse,62,0.87
83000,diverse,63,0.876
83000,diverse,64,0.88
83000,diverse,65,0.886
83000,diverse,66,0.89
83000,diverse,67,0.893
83000,diverse,68,0.896
83000,diverse,69,0.899
83000,diverse,70,0.902
83000,diverse,71,0.902
83000,diverse,72,0.904
83000,diverse,73,0.906
83000,diverse,74,0.907
83000,diverse,75,0.91
83000,diverse,76,0.912
83000,diverse,77,0.916
83000,diverse,78,0.922
83000,diverse,79,0.924
83000,diverse,80,0.93
83000,diverse,81,0.932
83000,diverse,82,0.936
83000,diverse,83,0.939
83000,diverse,84,0.94
83000,diverse,85,0.941
83000,diverse,86,0.945
83000,diverse,87,0.947
83000,diverse,88,0.949
83000,diverse,89,0.951
83000,diverse,90,0.954
83000,diverse,91,0.955
83000,diverse,92,0.956
83000,diverse,93,0.957
83000,diverse,94,0.958
83000,diverse,95,0.961
83000,diverse,96,0.962
83000,diverse,97,0.965
83000,diverse,98,0.968
83000,diverse,99,0.968
83000,diverse,100,0.969
83000,diverse,101,0.971
83000,diverse,102,0.972
83000,diverse,103,0.978
83000,diverse,104,0.978
83000,diverse,105,0.979
83000,diverse,106,0.98
83000,diverse,107,0.981
83000,diverse,108,0.983
83000,diverse,109,0.985
83000,diverse,110,0.989
83000,diverse,111,0.99
