seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.465,0.5349999999999999
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.775,0.21499999999999997
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.93,0.06999999999999995
85000,random,apply,SC2,0.85,0.15000000000000002
85000,random,apply,SH1,0.315,0.25999999999999995
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.615,0.385
85000,withheld,plan,SC2,0.995,0.0050000000000000044
85000,withheld,plan,SH1,0.79,0.19999999999999996
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.975,0.025000000000000022
85000,withheld,apply,SC2,0.855,0.14500000000000002
85000,withheld,apply,SH1,0.315,0.25999999999999995
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.465,0.5349999999999999
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.8,0.18999999999999995
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.905,0.09499999999999997
85001,random,apply,SC2,0.915,0.08499999999999996
85001,random,apply,SH1,0.325,0.24999999999999994
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.715,0.28500000000000003
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.715,0.275
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,1.0,0.0
85001,withheld,apply,SC2,0.935,0.06499999999999995
85001,withheld,apply,SH1,0.28,0.29499999999999993
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.54,0.45999999999999996
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.83,0.16000000000000003
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.97,0.030000000000000027
85002,random,apply,SC2,0.8,0.19999999999999996
85002,random,apply,SH1,0.325,0.24999999999999994
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.62,0.38
85002,withheld,plan,SC2,0.995,0.0050000000000000044
85002,withheld,plan,SH1,0.8,0.18999999999999995
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,1.0,0.0
85002,withheld,apply,SC2,0.92,0.07999999999999996
85002,withheld,apply,SH1,0.335,0.23999999999999994
