seed,arm,split,k,hit_k
85000,random,withheld,1,0.041
85000,random,withheld,2,0.078
85000,random,withheld,3,0.095
85000,random,withheld,4,0.115
85000,random,withheld,5,0.131
85000,random,withheld,6,0.146
85000,random,withheld,7,0.158
85000,random,withheld,8,0.165
85000,random,withheld,9,0.183
85000,random,withheld,10,0.201
85000,random,withheld,11,0.217
85000,random,withheld,12,0.237
85000,random,withheld,13,0.247
85000,random,withheld,14,0.255
85000,random,withheld,15,0.274
85000,random,withheld,16,0.281
85000,random,withheld,17,0.294
85000,random,withheld,18,0.306
85000,random,withheld,19,0.322
85000,random,withheld,20,0.338
85000,random,withheld,21,0.351
85000,random,withheld,22,0.362
85000,random,withheld,23,0.371
85000,random,withheld,24,0.388
85000,random,withheld,25,0.405
85000,random,withheld,26,0.415
85000,random,withheld,27,0.428
85000,random,withheld,28,0.442
85000,random,withheld,29,0.449
85000,random,withheld,30,0.463
85000,random,withheld,31,0.478
85000,random,withheld,32,0.488
85000,random,withheld,33,0.501
85000,random,withheld,34,0.512
85000,random,withheld,35,0.521
85000,random,withheld,36,0.533
85000,random,withheld,37,0.547
85000,random,withheld,38,0.556
85000,random,withheld,39,0.563
85000,random,withheld,40,0.569
85000,random,withheld,41,0.575
85000,random,withheld,42,0.584
85000,random,withheld,43,0.592
85000,random,withheld,44,0.597
85000,random,withheld,45,0.608
85000,random,withheld,46,0.611
85000,random,withheld,47,0.62
85000,random,withheld,48,0.631
85000,random,withheld,49,0.636
85000,random,withheld,50,0.641
85000,random,withheld,51,0.646
85000,random,withheld,52,0.654
85000,random,withheld,53,0.662
85000,random,withheld,54,0.671
85000,random,withheld,55,0.675
85000,random,withheld,56,0.681
85000,random,withheld,57,0.691
85000,random,withheld,58,0.695
85000,random,withheld,59,0.696
85000,random,withheld,60,0.708
85000,random,withheld,61,0.72
85000,random,withheld,62,0.731
85000,random,withheld,63,0.745
85000,random,withheld,64,0.755
85000,random,withheld,65,0.767
85000,random,withheld,66,0.776
85000,random,withheld,67,0.787
85000,random,withheld,68,0.798
85000,random,withheld,69,0.811
85000,random,withheld,70,0.82
85000,random,withheld,71,0.83
85000,random,withheld,72,0.837
85000,random,withheld,73,0.851
85000,random,withheld,74,0.859
85000,random,withheld,75,0.876
85000,random,withheld,76,0.878
85000,random,withheld,77,0.886
85000,random,withheld,78,0.895
85000,random,withheld,79,0.897
85000,random,withheld,80,0.903
85000,random,withheld,81,0.906
85000,random,withheld,82,0.91
85000,random,withheld,83,0.914
85000,random,withheld,84,0.923
85000,random,withheld,85,0.927
85000,random,withheld,86,0.93
85000,random,withheld,87,0.936
85000,random,withheld,88,0.938
85000,random,withheld,89,0.94
85000,random,withheld,90,0.942
