seed,arm,split,hit32,correct_mass
85000,random,withheld,0.488,0.017276206127150293
85000,random,control,0.634,0.04642501424008882
85000,withheld,withheld,0.119,0.003266497821430926
85000,withheld,control,0.74,0.07148355586823857
85001,random,withheld,0.382,0.014201511940306952
85001,random,control,0.66,0.05200543934707559
85001,withheld,withheld,0.126,0.003788222654419835
85001,withheld,control,0.734,0.06805020769666453
85002,random,withheld,0.355,0.01251709561890987
85002,random,control,0.663,0.05121273546794367
85002,withheld,withheld,0.11,0.0031005350700073825
85002,withheld,control,0.737,0.06550253671455937
