seed,arm,split,hit32,correct_mass
85000,random,withheld,0.69,0.020456166975740857
85000,random,control,0.635,0.048747528614598426
85000,withheld,withheld,0.527,0.014342153396261648
85000,withheld,control,0.615,0.055978574021217455
85001,random,withheld,0.632,0.01927708535344605
85001,random,control,0.629,0.0532496864825721
85001,withheld,withheld,0.516,0.014365251768611937
85001,withheld,control,0.619,0.05047655284090667
85002,random,withheld,0.681,0.023193674966140134
85002,random,control,0.629,0.05343171440167712
85002,withheld,withheld,0.638,0.01917678660533602
85002,withheld,control,0.635,0.05420161888303526
