seed,arm,split,k,hit_k
85000,random,withheld,1,0.066
85000,random,withheld,2,0.076
85000,random,withheld,3,0.08
85000,random,withheld,4,0.102
85000,random,withheld,5,0.134
85000,random,withheld,6,0.157
85000,random,withheld,7,0.183
85000,random,withheld,8,0.207
85000,random,withheld,9,0.232
85000,random,withheld,10,0.261
85000,random,withheld,11,0.289
85000,random,withheld,12,0.311
85000,random,withheld,13,0.33
85000,random,withheld,14,0.347
85000,random,withheld,15,0.366
85000,random,withheld,16,0.377
85000,random,withheld,17,0.397
85000,random,withheld,18,0.408
85000,random,withheld,19,0.418
85000,random,withheld,20,0.428
85000,random,withheld,21,0.437
85000,random,withheld,22,0.446
85000,random,withheld,23,0.467
85000,random,withheld,24,0.484
85000,random,withheld,25,0.494
85000,random,withheld,26,0.509
85000,random,withheld,27,0.521
85000,random,withheld,28,0.542
85000,random,withheld,29,0.552
85000,random,withheld,30,0.563
85000,random,withheld,31,0.581
85000,random,withheld,32,0.59
85000,random,withheld,33,0.598
85000,random,withheld,34,0.612
85000,random,withheld,35,0.621
85000,random,withheld,36,0.63
85000,random,withheld,37,0.638
85000,random,withheld,38,0.646
85000,random,withheld,39,0.662
85000,random,withheld,40,0.668
85000,random,withheld,41,0.676
85000,random,withheld,42,0.69
85000,random,withheld,43,0.7
85000,random,withheld,44,0.709
85000,random,withheld,45,0.724
85000,random,withheld,46,0.739
85000,random,withheld,47,0.754
85000,random,withheld,48,0.763
85000,random,withheld,49,0.771
85000,random,withheld,50,0.777
85000,random,withheld,51,0.786
85000,random,withheld,52,0.801
85000,random,withheld,53,0.808
85000,random,withheld,54,0.817
85000,random,withheld,55,0.829
85000,random,withheld,56,0.835
85000,random,withheld,57,0.842
85000,random,withheld,58,0.853
85000,random,withheld,59,0.86
85000,random,withheld,60,0.866
85000,random,withheld,61,0.871
85000,random,withheld,62,0.882
85000,random,withheld,63,0.89
85000,random,withheld,64,0.896
85000,random,withheld,65,0.905
85000,random,withheld,66,0.909
85000,random,withheld,67,0.911
85000,random,withheld,68,0.916
85000,random,withheld,69,0.921
85000,random,withheld,70,0.93
85000,random,withheld,71,0.933
85000,random,withheld,72,0.936
85000,random,withheld,73,0.942
85000,random,withheld,74,0.952
