seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.415,0.585
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.68,0.30999999999999994
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.81,0.18999999999999995
85000,random,apply,SC2,0.94,0.06000000000000005
85000,random,apply,SH1,0.315,0.25999999999999995
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.48,0.52
85000,withheld,plan,SC2,0.99,0.010000000000000009
85000,withheld,plan,SH1,0.785,0.20499999999999996
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.97,0.030000000000000027
85000,withheld,apply,SC2,0.845,0.15500000000000003
85000,withheld,apply,SH1,0.325,0.24999999999999994
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.59,0.41000000000000003
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.58,0.41000000000000003
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,1.0,0.0
85001,random,apply,SC2,0.8,0.19999999999999996
85001,random,apply,SH1,0.335,0.23999999999999994
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.41,0.5900000000000001
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.535,0.45499999999999996
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.98,0.020000000000000018
85001,withheld,apply,SC2,0.765,0.235
85001,withheld,apply,SH1,0.28,0.29499999999999993
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.615,0.385
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.91,0.07999999999999996
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.935,0.06499999999999995
85002,random,apply,SC2,0.905,0.09499999999999997
85002,random,apply,SH1,0.32,0.25499999999999995
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.485,0.515
85002,withheld,plan,SC2,0.99,0.010000000000000009
85002,withheld,plan,SH1,0.835,0.15500000000000003
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,1.0,0.0
85002,withheld,apply,SC2,0.825,0.17500000000000004
85002,withheld,apply,SH1,0.285,0.29
