k,subset,seed,arm,training_status,withheld_evaluation_status,control_evaluation_status,atomic_evaluation_status,remote_training_status,remote_evaluation_status,design_reason
1,1,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,1,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,1,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,1,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,1,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,1,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,2,85000,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,SKIPPED_ACCEPTED,
1,2,85000,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,SKIPPED_ACCEPTED,
1,2,85001,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,SKIPPED_ACCEPTED,
1,2,85001,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,SKIPPED_ACCEPTED,
1,2,85002,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,SKIPPED_ACCEPTED,
1,2,85002,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
1,3,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,3,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,3,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,3,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,3,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,3,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,4,85000,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
1,4,85000,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
1,4,85001,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
1,4,85001,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
1,4,85002,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
1,4,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,5,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,5,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,5,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,5,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
1,5,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
1,5,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,1,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,1,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,1,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,1,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,1,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,1,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,2,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,2,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,2,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,2,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,2,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,2,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,3,85000,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
2,3,85000,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
2,3,85001,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
2,3,85001,withheld,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
2,3,85002,random,DONE,DONE,DONE,DONE,SKIPPED_ACCEPTED,DONE,
2,3,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,4,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,4,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,4,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,4,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,4,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,4,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,5,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,5,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,5,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,5,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
2,5,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
2,5,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,1,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,1,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,1,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,1,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,1,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,1,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,2,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,2,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,2,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,2,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,2,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,2,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,3,85000,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,3,85000,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,3,85001,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,3,85001,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,3,85002,random,DONE,DONE,DONE,DONE,DONE,DONE,
3,3,85002,withheld,DONE,DONE,DONE,DONE,DONE,DONE,
3,4,85000,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,4,85000,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,4,85001,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,4,85001,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,4,85002,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,4,85002,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,5,85000,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,5,85000,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,5,85001,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,5,85001,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,5,85002,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
3,5,85002,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,1,85000,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,1,85000,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,1,85001,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,1,85001,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,1,85002,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,1,85002,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,2,85000,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,2,85000,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,2,85001,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,2,85001,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,2,85002,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,2,85002,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,3,85000,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,3,85000,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,3,85001,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,3,85001,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,3,85002,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,3,85002,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,4,85000,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,4,85000,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,4,85001,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,4,85001,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,4,85002,random,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,4,85002,withheld,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,UNKNOWN,UNKNOWN,
5,5,85000,random,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,UNKNOWN,UNKNOWN,insufficient matched pool: 226 < 250
5,5,85000,withheld,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,UNKNOWN,UNKNOWN,insufficient matched pool: 226 < 250
5,5,85001,random,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,UNKNOWN,UNKNOWN,insufficient matched pool: 226 < 250
5,5,85001,withheld,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,UNKNOWN,UNKNOWN,insufficient matched pool: 226 < 250
5,5,85002,random,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,UNKNOWN,UNKNOWN,insufficient matched pool: 226 < 250
5,5,85002,withheld,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,DESIGN_INFEASIBLE,UNKNOWN,UNKNOWN,insufficient matched pool: 226 < 250
