run,operation,field,degree,n,parse_rate,accuracy
q06_mask1_ce_cf_entropy_seed0,AC1,5,4,6,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,7,2,3,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,7,3,5,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,7,4,18,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,13,2,3,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,13,3,14,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,13,4,22,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,19,2,4,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,19,3,16,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,19,4,17,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,23,2,6,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,23,3,25,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,23,4,17,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,29,2,8,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,29,3,19,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AC1,29,4,17,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,AX1,5,4,8,1.0,0.625
q06_mask1_ce_cf_entropy_seed0,AX1,7,4,6,1.0,0.5
q06_mask1_ce_cf_entropy_seed0,AX1,13,3,23,1.0,0.6521739130434783
q06_mask1_ce_cf_entropy_seed0,AX1,13,4,15,1.0,0.5333333333333333
q06_mask1_ce_cf_entropy_seed0,AX1,19,2,8,1.0,0.5
q06_mask1_ce_cf_entropy_seed0,AX1,19,3,17,1.0,0.5294117647058824
q06_mask1_ce_cf_entropy_seed0,AX1,19,4,22,1.0,0.5454545454545454
q06_mask1_ce_cf_entropy_seed0,AX1,23,2,9,1.0,0.5555555555555556
q06_mask1_ce_cf_entropy_seed0,AX1,23,3,21,1.0,0.42857142857142855
q06_mask1_ce_cf_entropy_seed0,AX1,23,4,13,1.0,0.6153846153846154
q06_mask1_ce_cf_entropy_seed0,AX1,29,2,18,1.0,0.5555555555555556
q06_mask1_ce_cf_entropy_seed0,AX1,29,3,23,1.0,0.6521739130434783
