model,seed,arm,evaluation_set,family,depth,score_key,method,target_control,tasks,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-0.6B,0,atomic_control,dev_A,A,3,score,raw,own_target,200,0.08925806555910157,0.026175827183021944,0.03,0.175,0.33,0.575,0.82,0.965,1.0,0.026175827183021944,0.03384165155252278,0.037756106187950354,0.04382601834476855,0.05320538345382298,0.0614660514310535,0.06632876044155339
Qwen/Qwen3-0.6B,0,atomic_control,dev_A,A,3,score,unigram,own_target,200,0.10733804294907875,0.03685887925458244,0.04,0.22,0.4,0.59,0.81,0.95,1.0,0.03685887925458244,0.05105726698109283,0.05571890634681589,0.06269729139751416,0.07290487709975634,0.08181830569819254,0.08708765380451532
Qwen/Qwen3-0.6B,0,atomic_control,dev_A,A,3,score,bigram,own_target,200,0.11919324238993352,0.030261003821478085,0.04,0.27,0.405,0.605,0.795,0.955,1.0,0.030261003821478085,0.1075035103353846,0.14667783042174407,0.19276587383128174,0.24413270773968498,0.2787353168720397,0.2964223507914409
Qwen/Qwen3-0.6B,0,atomic_control,dev_A,A,3,score,full,own_target,200,0.11475499397734694,0.0312895493723637,0.03,0.27,0.435,0.61,0.865,0.97,1.0,0.0312895493723637,0.16919892434363093,0.25322033646594194,0.34730943230452693,0.4429914775627881,0.5021009777079906,0.5304311197981675
Qwen/Qwen3-0.6B,0,atomic_control,dev_B,B,3,score,raw,own_target,200,0.030907075854451866,0.00010974345274398944,0.0,0.01,0.15,0.315,0.66,0.945,1.0,0.00010974345274398944,0.0008485499354343015,0.001634470991357139,0.0030445806276525305,0.005363835897963769,0.007427244590967884,0.008638014485719658
Qwen/Qwen3-0.6B,0,atomic_control,dev_B,B,3,score,unigram,own_target,200,0.03725380038954906,0.0017473835630115017,0.0,0.025,0.155,0.36,0.735,0.93,1.0,0.0017473835630115017,0.005952642206482918,0.007315661896859602,0.009503380657948994,0.01346257936724232,0.017378874521272132,0.01981633615154642
Qwen/Qwen3-0.6B,0,atomic_control,dev_B,B,3,score,bigram,own_target,200,0.052321735251729694,0.006461478597295226,0.005,0.085,0.245,0.45,0.73,0.925,1.0,0.006461478597295226,0.0398750107841989,0.06523627126239517,0.09986826292954713,0.14314782743577797,0.17491243174555918,0.191769185454729
Qwen/Qwen3-0.6B,0,atomic_control,dev_B,B,3,score,full,own_target,200,0.09795175069908475,0.019548753289844605,0.04,0.165,0.275,0.455,0.725,0.86,1.0,0.019548753289844605,0.10679269644811366,0.15936019446593136,0.21875455095521382,0.2826341087943083,0.32565434028329077,0.3478125898994804
Qwen/Qwen3-0.6B,0,atomic_control,dev_C,C,3,score,raw,own_target,200,0.07460320635705193,0.012284188575287276,0.01,0.14,0.275,0.495,0.815,0.96,1.0,0.012284188575287276,0.023245963980587057,0.030404387759395135,0.039270046737239515,0.05024067428020221,0.05822054051241467,0.062413918208998505
Qwen/Qwen3-0.6B,0,atomic_control,dev_C,C,3,score,unigram,own_target,200,0.08546284239526891,0.016501627561313074,0.015,0.18,0.35,0.5,0.81,0.945,1.0,0.016501627561313074,0.02931625841360291,0.03961998055686618,0.05483334306778205,0.07567555045542627,0.09195301694344696,0.10086273345103602
Qwen/Qwen3-0.6B,0,atomic_control,dev_C,C,3,score,bigram,own_target,200,0.0821401647874,0.020386545852200372,0.015,0.175,0.35,0.54,0.8,0.935,1.0,0.020386545852200372,0.07296885631075926,0.10838532037309706,0.1535690829527534,0.2078183026138744,0.24754700380840616,0.2686288176050161
