model,seed,arm,evaluation_set,family,depth,score_key,method,target_control,tasks,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-8B,0,atomic_control,dev_A,A,3,score,raw,own_target,200,0.14407263719231117,0.05554162336765672,0.08,0.21,0.34,0.5,0.745,0.925,1.0,0.05554162336765672,0.12705119478474733,0.14550724608746346,0.16379957635749598,0.18632365172952647,0.2040669245701777,0.21382213964442365
Qwen/Qwen3-8B,0,atomic_control,dev_A,A,3,score,unigram,own_target,200,0.10509933985572402,0.02877353760511105,0.04,0.175,0.35,0.63,0.795,0.885,1.0,0.02877353760511105,0.0996810353285065,0.1277348111501511,0.15765756172679907,0.19208243307785824,0.2177538370044992,0.2315973038757395
Qwen/Qwen3-8B,0,atomic_control,dev_A,A,3,score,bigram,own_target,200,0.11389078144395626,0.030566278671463724,0.02,0.245,0.4,0.6,0.8,0.945,1.0,0.030566278671463724,0.13461915389331783,0.19202916118826863,0.25411334148154485,0.31762104506160244,0.35799197638664365,0.3778125126184483
Qwen/Qwen3-8B,0,atomic_control,dev_A,A,3,score,full,own_target,200,0.10205511819167,0.02734899760199995,0.03,0.22,0.39,0.57,0.82,0.945,1.0,0.02734899760199995,0.13388707313186715,0.2061474701191186,0.294391212145831,0.3846524915897062,0.43808350683736735,0.4631822392643618
Qwen/Qwen3-8B,0,atomic_control,dev_B,B,3,score,raw,own_target,200,0.018663855263927505,5.462086196030618e-05,0.0,0.0,0.005,0.165,0.465,0.755,1.0,5.462086196030618e-05,0.0004326670579506201,0.0008556757905775392,0.0016737753602576928,0.003205286903861423,0.004776760667140859,0.005783303654817655
Qwen/Qwen3-8B,0,atomic_control,dev_B,B,3,score,unigram,own_target,200,0.06286765702971063,0.017591109554490857,0.01,0.15,0.195,0.265,0.45,0.69,1.0,0.017591109554490857,0.06240423736776763,0.08546780295796257,0.10922835931843433,0.13135206457267176,0.14463343621966251,0.15102618368870385
Qwen/Qwen3-8B,0,atomic_control,dev_B,B,3,score,bigram,own_target,200,0.06284914667645328,0.012967240003658302,0.005,0.105,0.21,0.335,0.53,0.81,1.0,0.012967240003658302,0.0680505473714882,0.10161134964340174,0.13993456620150557,0.18010126122744297,0.20522436537308286,0.21724076514307314
Qwen/Qwen3-8B,0,atomic_control,dev_B,B,3,score,full,own_target,200,0.07229418026097134,0.018388972333217294,0.02,0.16,0.2,0.34,0.545,0.835,1.0,0.01838897233321729,0.09215543294463767,0.1384512634526138,0.1902633460102986,0.23877882355399144,0.26770899020869476,0.28208413460801723
Qwen/Qwen3-8B,0,atomic_control,dev_C,C,3,score,raw,own_target,200,0.0808158397091072,0.02621154242944915,0.035,0.12,0.225,0.4,0.7,0.865,1.0,0.02621154242944915,0.05603488071472482,0.06453374362366125,0.07660485702954473,0.09365833969631421,0.10713049481586967,0.11442435822387143
Qwen/Qwen3-8B,0,atomic_control,dev_C,C,3,score,unigram,own_target,200,0.07346852875904887,0.019721223604009686,0.015,0.13,0.255,0.52,0.775,0.895,1.0,0.019721223604009686,0.0661663364390674,0.08733603822788165,0.11079520505472586,0.1384812241365392,0.15812440656956192,0.16813422988762117
Qwen/Qwen3-8B,0,atomic_control,dev_C,C,3,score,bigram,own_target,200,0.08000282042672978,0.020216934671546144,0.02,0.155,0.25,0.465,0.715,0.925,1.0,0.020216934671546144,0.08226384808028847,0.11881310986963277,0.16469308527931947,0.22031132724735156,0.2606696778122807,0.2818702624838071
Qwen/Qwen3-8B,0,atomic_control,dev_C,C,3,score,full,own_target,200,0.07816402170193451,0.019170927072151067,0.015,0.14,0.255,0.46,0.71,0.91,1.0,0.019170927072151067,0.10465478177927759,0.16039584508344795,0.229941284192594,0.3100065780702498,0.3645405559828887,0.3918303028599926
Qwen/Qwen3-8B,0,atomic_control,dev_D,D,3,score,raw,own_target,200,0.01978414636416215,0.00010196885227528062,0.0,0.0,0.015,0.2,0.46,0.77,1.0,0.00010196885227528062,0.0007967325597311834,0.001552136488281216,0.0029515667415409698,0.005379321698550527,0.007658592530096808,0.009031756284944101
Qwen/Qwen3-8B,0,atomic_control,dev_D,D,3,score,unigram,own_target,200,0.06320699207125843,0.01586519514577204,0.015,0.125,0.17,0.255,0.43,0.725,1.0,0.01586519514577204,0.06436521650745328,0.08349939910838651,0.10204119953993579,0.12097371605468396,0.13236350582549256,0.13755374225946082
Qwen/Qwen3-8B,0,atomic_control,dev_D,D,3,score,bigram,own_target,200,0.0729341746116611,0.016601501189975335,0.015,0.125,0.205,0.33,0.545,0.85,1.0,0.016601501189975335,0.0766026904753017,0.108655047676088,0.14331770374715905,0.1797361766988479,0.2054028925601451,0.21936371923316916
Qwen/Qwen3-8B,0,atomic_control,dev_D,D,3,score,full,own_target,200,0.08552568250968527,0.021265074507097886,0.025,0.15,0.215,0.365,0.56,0.855,1.0,0.021265074507097886,0.10798354405574236,0.15536335674053134,0.20441681021612054,0.2563629182185437,0.2927398154388436,0.311567281186256
Qwen/Qwen3-8B,0,composition,dev_A,A,3,score,raw,own_target,200,0.39368614035063815,0.1679176649806719,0.26,0.645,0.785,0.9,0.995,1.0,1.0,0.1679176649806719,0.4889786717956789,0.629270557820988,0.7616953722418607,0.8687894049274564,0.9175924440559085,0.935814427734828
Qwen/Qwen3-8B,0,composition,dev_A,A,3,score,unigram,own_target,200,0.3257666894960345,0.15791154215532438,0.225,0.48,0.685,0.83,0.98,1.0,1.0,0.15791154215532438,0.4255260992133378,0.5500009707536089,0.6777345428617393,0.7894279177370911,0.845123643400241,0.8678697149325286
Qwen/Qwen3-8B,0,composition,dev_A,A,3,score,bigram,own_target,200,0.35123482025019426,0.14148723438051825,0.23,0.595,0.74,0.855,0.98,0.995,1.0,0.14148723438051825,0.4160253753759976,0.546648378537091,0.6776614166504495,0.7956405420560554,0.8585187775898154,0.8848646848423747
Qwen/Qwen3-8B,0,composition,dev_A,A,3,score,full,own_target,200,0.3177197003494094,0.13537007102845178,0.185,0.54,0.69,0.86,0.96,0.995,1.0,0.13537007102845178,0.4104074871079489,0.5459694511196704,0.6807945066357093,0.8010272301445763,0.8652726062918091,0.8921034958916052
Qwen/Qwen3-8B,0,composition,dev_B,B,3,score,raw,own_target,200,0.017200250679318563,0.001720817677504668,0.0,0.005,0.025,0.055,0.315,0.815,1.0,0.001720817677504668,0.013489243925302447,0.02637517631619579,0.05051365386086836,0.09326844126030298,0.1344067096731365,0.15956855817764842
Qwen/Qwen3-8B,0,composition,dev_B,B,3,score,unigram,own_target,200,0.01992368641269282,0.0014593356943983415,0.0,0.03,0.04,0.07,0.305,0.815,1.0,0.0014593356943983415,0.011343195777548647,0.021988885416377557,0.04151752396818097,0.07521846140312251,0.10725081819130348,0.12695634994483598
Qwen/Qwen3-8B,0,composition,dev_B,B,3,score,bigram,own_target,200,0.08618004912935903,0.017676577265760725,0.01,0.175,0.39,0.555,0.845,0.97,1.0,0.017676577265760725,0.12005706346160545,0.2095533018186455,0.34173373707203175,0.508089415592853,0.6187423775865244,0.6709952812783508
Qwen/Qwen3-8B,0,composition,dev_B,B,3,score,full,own_target,200,0.10276059525139164,0.021038903701779247,0.015,0.255,0.42,0.555,0.84,0.965,1.0,0.021038903701779247,0.14194420378914321,0.2426466062979928,0.38094853828221126,0.5431344854413684,0.6485618624775854,0.698873923475868
Qwen/Qwen3-8B,0,composition,dev_C,C,3,score,raw,own_target,200,0.3343783123096694,0.13203544891841315,0.215,0.545,0.745,0.87,0.96,1.0,1.0,0.13203544891841315,0.42405761155034827,0.5676395295893335,0.7139372657856302,0.8375439722360014,0.8936060523954626,0.9140172285933437
Qwen/Qwen3-8B,0,composition,dev_C,C,3,score,unigram,own_target,200,0.2764208392075288,0.13115476515469082,0.175,0.405,0.64,0.83,0.96,0.985,1.0,0.13115476515469082,0.3759688228030786,0.49996644523728717,0.6375969759935355,0.7655246779719421,0.8314383630094685,0.8582950526822896
Qwen/Qwen3-8B,0,composition,dev_C,C,3,score,bigram,own_target,200,0.29721422251730706,0.10776294205006386,0.175,0.52,0.66,0.825,0.92,0.98,1.0,0.10776294205006386,0.35461697094321565,0.4824832532996686,0.6212696106745331,0.7528589659978961,0.8235397058756224,0.8529756682298426
Qwen/Qwen3-8B,0,composition,dev_C,C,3,score,full,own_target,200,0.26416959041921556,0.10984809242418972,0.135,0.47,0.635,0.8,0.925,0.975,1.0,0.10984809242418972,0.3478808282696149,0.47741526165449616,0.619858701478313,0.7538071184927206,0.8243983341915799,0.8535072686785958
Qwen/Qwen3-8B,0,composition,dev_D,D,3,score,raw,own_target,200,0.0167542859216562,0.0015772441506959867,0.0,0.01,0.02,0.065,0.305,0.775,1.0,0.0015772441506959867,0.01229047719619736,0.023893942225993694,0.045367694324132034,0.08298911457519406,0.11922707955394304,0.14159268284766444
Qwen/Qwen3-8B,0,composition,dev_D,D,3,score,unigram,own_target,200,0.018893134041157444,0.0012344094829271483,0.0,0.015,0.025,0.065,0.3,0.79,1.0,0.001234409482927148,0.009582166700261959,0.018562276341860435,0.03507127390808692,0.06394824924341733,0.09214511095897034,0.10990742456519514
Qwen/Qwen3-8B,0,composition,dev_D,D,3,score,bigram,own_target,200,0.06526802179094653,0.014106079644954955,0.0,0.115,0.31,0.51,0.86,0.985,1.0,0.014106079644954955,0.1018802347096575,0.1838296178117144,0.30902542488873586,0.4726763300843846,0.5867926544115667,0.6425396828406172
Qwen/Qwen3-8B,0,composition,dev_D,D,3,score,full,own_target,200,0.10297209654104165,0.019366259900844215,0.03,0.215,0.375,0.54,0.88,0.99,1.0,0.019366259900844215,0.1318780608904962,0.22641576049753415,0.3574102840600545,0.5165654932883935,0.6253424844674057,0.6784820565297438
Qwen/Qwen3-8B,1,atomic_control,dev_A,A,3,score,raw,own_target,200,0.14411020402370853,0.059522636921163954,0.07,0.25,0.36,0.495,0.74,0.91,1.0,0.059522636921163954,0.14661534340967303,0.17410826852010647,0.20222861946050638,0.2316749952093801,0.2517912601701615,0.26225232228672013
Qwen/Qwen3-8B,1,atomic_control,dev_A,A,3,score,unigram,own_target,200,0.1334720561974415,0.04097171535070225,0.06,0.19,0.34,0.64,0.79,0.905,1.0,0.04097171535070225,0.13012832668050564,0.1612203237144035,0.19341862227523904,0.22964137765290274,0.2556945757549145,0.2694730550930423
Qwen/Qwen3-8B,1,atomic_control,dev_A,A,3,score,bigram,own_target,200,0.1278029413636996,0.03360299410362235,0.03,0.27,0.44,0.605,0.815,0.935,1.0,0.03360299410362235,0.1548461390504485,0.21923013691955576,0.28677790468631853,0.354613650315194,0.3985728096975224,0.4206546491096723
Qwen/Qwen3-8B,1,atomic_control,dev_A,A,3,score,full,own_target,200,0.12414685133212817,0.029042645771019514,0.05,0.25,0.415,0.595,0.82,0.95,1.0,0.029042645771019514,0.15032189969377666,0.22831091456914684,0.32114895786858666,0.4180994685175671,0.4776304756766563,0.5058802677578433
Qwen/Qwen3-8B,1,atomic_control,dev_B,B,3,score,raw,own_target,200,0.019059399865276452,5.020584761161541e-05,0.0,0.0,0.005,0.18,0.465,0.78,1.0,5.020584761161541e-05,0.0003992087642210665,0.0007929179891452379,0.0015642947323773748,0.003045930630150412,0.00462217317385373,0.005664677830787123
Qwen/Qwen3-8B,1,atomic_control,dev_B,B,3,score,unigram,own_target,200,0.0692457670497788,0.016805891583923174,0.015,0.16,0.2,0.27,0.445,0.69,1.0,0.016805891583923174,0.06455449004917596,0.09050806295837731,0.11632365867290954,0.13910238161026178,0.15271353568132334,0.1591986609435343
Qwen/Qwen3-8B,1,atomic_control,dev_B,B,3,score,bigram,own_target,200,0.058909380885596746,0.011793485515801505,0.0,0.115,0.21,0.36,0.54,0.83,1.0,0.011793485515801505,0.06741392562048763,0.10301269187489016,0.14462155172699956,0.19068689669948108,0.22168484680788977,0.23732618517478543
Qwen/Qwen3-8B,1,atomic_control,dev_B,B,3,score,full,own_target,200,0.06684086890585106,0.017485734124117615,0.015,0.14,0.195,0.35,0.555,0.845,1.0,0.017485734124117615,0.09198210620570102,0.139125573701157,0.19362926544129297,0.2501358754948956,0.2865539402093546,0.30456737736134365
Qwen/Qwen3-8B,1,atomic_control,dev_C,C,3,score,raw,own_target,200,0.08633893008576272,0.02990722758151238,0.04,0.135,0.23,0.4,0.69,0.865,1.0,0.02990722758151238,0.07231795611289543,0.08965376936459038,0.11018820206406979,0.13241079706707995,0.14721129306475056,0.1547169303237713
Qwen/Qwen3-8B,1,atomic_control,dev_C,C,3,score,unigram,own_target,200,0.07723106141891274,0.02160538506748003,0.02,0.14,0.235,0.545,0.785,0.895,1.0,0.02160538506748003,0.07549847772683337,0.10027623223604636,0.12671873285977436,0.1547859680126657,0.17406269824616913,0.18427891020767437
Qwen/Qwen3-8B,1,atomic_control,dev_C,C,3,score,bigram,own_target,200,0.07789007935884064,0.020539381500583553,0.02,0.135,0.25,0.485,0.725,0.935,1.0,0.020539381500583553,0.08601963289121509,0.12712118920567314,0.18096859881061841,0.24754245594715812,0.2953732558082648,0.3203544192701081
Qwen/Qwen3-8B,1,atomic_control,dev_C,C,3,score,full,own_target,200,0.07634700235317472,0.017950319108086803,0.02,0.115,0.29,0.49,0.71,0.94,1.0,0.017950319108086803,0.1045347420789169,0.16630755206684356,0.24638876761491446,0.33824453637945945,0.398422115906924,0.4276619323365321
Qwen/Qwen3-8B,1,atomic_control,dev_D,D,3,score,raw,own_target,200,0.020649622492760224,0.0001070576663592708,0.0,0.0,0.025,0.205,0.47,0.775,1.0,0.00010705766635927078,0.0008419918433077583,0.0016520212813633665,0.0031829173105172802,0.00593006024389388,0.008604457638860545,0.010250895837175472
Qwen/Qwen3-8B,1,atomic_control,dev_D,D,3,score,unigram,own_target,200,0.06580540758710235,0.01727807376836718,0.01,0.15,0.18,0.265,0.445,0.735,1.0,0.01727807376836718,0.0731991693544028,0.09882694407273811,0.12244867745409234,0.14142682675750898,0.15057829690302207,0.15446402240815021
Qwen/Qwen3-8B,1,atomic_control,dev_D,D,3,score,bigram,own_target,200,0.0695771201995262,0.016213585701112063,0.01,0.12,0.215,0.35,0.575,0.85,1.0,0.016213585701112063,0.07930183925037558,0.11734915145431418,0.16262675623065406,0.21447197232493195,0.2506402686997466,0.26915667893913076
Qwen/Qwen3-8B,1,atomic_control,dev_D,D,3,score,full,own_target,200,0.08774168159957306,0.02163315730596696,0.03,0.155,0.215,0.37,0.59,0.85,1.0,0.02163315730596696,0.11343877161715664,0.1645425406895628,0.2182744220146119,0.2758878928313587,0.3161610467417672,0.3368593976241126
Qwen/Qwen3-8B,1,composition,dev_A,A,3,score,raw,own_target,200,0.37764525833607804,0.1617080098191291,0.235,0.63,0.775,0.915,0.995,1.0,1.0,0.1617080098191291,0.48746303517075346,0.6327448282163936,0.7670103846978035,0.8716501443759216,0.9177346578426736,0.9347679597881011
Qwen/Qwen3-8B,1,composition,dev_A,A,3,score,unigram,own_target,200,0.34481192015682083,0.15526459164704653,0.235,0.565,0.695,0.875,0.99,1.0,1.0,0.1552645916470465,0.44422194608387827,0.5789106095183304,0.7112672605764473,0.8224907574669308,0.8768656229931727,0.898725652823122
Qwen/Qwen3-8B,1,composition,dev_A,A,3,score,bigram,own_target,200,0.3562786643655915,0.13837348600133947,0.23,0.595,0.74,0.855,0.97,0.995,1.0,0.13837348600133947,0.4280383254239524,0.5625247283137501,0.6908967362808595,0.8022427733402224,0.8612297570787376,0.8862430193611963
Qwen/Qwen3-8B,1,composition,dev_A,A,3,score,full,own_target,200,0.32706129064089606,0.13459356151963806,0.185,0.56,0.72,0.845,0.97,0.995,1.0,0.13459356151963806,0.4173107965013745,0.5535827099131297,0.6872976997611056,0.8048113928657952,0.8664741782323506,0.8920155703395429
Qwen/Qwen3-8B,1,composition,dev_B,B,3,score,raw,own_target,200,0.01887653678371766,0.002460587513795805,0.0,0.005,0.045,0.1,0.415,0.84,1.0,0.002460587513795805,0.01916230436107212,0.03719880058450003,0.0702850503235341,0.126700183137158,0.1784751001703478,0.2090190033073845
Qwen/Qwen3-8B,1,composition,dev_B,B,3,score,unigram,own_target,200,0.020596670575158117,0.0023134217479921556,0.0,0.02,0.045,0.1,0.335,0.855,1.0,0.0023134217479921556,0.017827007207950708,0.03424586945034287,0.06364024030569135,0.11244070292604588,0.15692892144045875,0.18349431367193111
Qwen/Qwen3-8B,1,composition,dev_B,B,3,score,bigram,own_target,200,0.08418205458442837,0.01598288838729822,0.005,0.165,0.36,0.575,0.835,0.97,1.0,0.01598288838729822,0.11421515187424643,0.2040256360413209,0.3375592176928084,0.5050813147602906,0.6172984085697911,0.6708812523162756
Qwen/Qwen3-8B,1,composition,dev_B,B,3,score,full,own_target,200,0.09263505073706564,0.019724983171917888,0.005,0.24,0.385,0.56,0.835,0.965,1.0,0.019724983171917888,0.1345864915925903,0.23162359915422243,0.36627724254982846,0.52680987790058,0.6334030552097174,0.6849363849107055
Qwen/Qwen3-8B,1,composition,dev_C,C,3,score,raw,own_target,200,0.32536691807391,0.12719907900749905,0.21,0.535,0.72,0.865,0.98,0.99,1.0,0.12719907900749905,0.4115936755937612,0.5559896532551701,0.7057188058686432,0.8316603742866809,0.8879349702699288,0.9084189937832765
Qwen/Qwen3-8B,1,composition,dev_C,C,3,score,unigram,own_target,200,0.2810610394404974,0.12645596476431475,0.18,0.46,0.655,0.85,0.955,0.995,1.0,0.12645596476431475,0.38023938463323725,0.5126049363752373,0.6594337006922872,0.7925221465635852,0.8575846339811695,0.882793263952042
Qwen/Qwen3-8B,1,composition,dev_C,C,3,score,bigram,own_target,200,0.28951001240403834,0.10396157412135215,0.16,0.495,0.635,0.825,0.93,0.985,1.0,0.10396157412135215,0.3548017671230616,0.48465146371472423,0.6225507113003858,0.751695807963289,0.8214976260145929,0.8508770005481102
Qwen/Qwen3-8B,1,composition,dev_C,C,3,score,full,own_target,200,0.2956602828303042,0.10532022566111227,0.18,0.495,0.645,0.8,0.89,0.985,1.0,0.10532022566111227,0.3470502673051075,0.4795719195542595,0.6233421754694847,0.7556481773310213,0.8239727048558149,0.8517817099305777
Qwen/Qwen3-8B,1,composition,dev_D,D,3,score,raw,own_target,200,0.01803473063417266,0.0021357949691825197,0.0,0.01,0.025,0.08,0.36,0.805,1.0,0.0021357949691825197,0.01654361371355624,0.03197367332165261,0.060133162420675325,0.10849528173406998,0.1540746636115715,0.18171162520399456
Qwen/Qwen3-8B,1,composition,dev_D,D,3,score,unigram,own_target,200,0.020472014157227304,0.0019787472875280065,0.0,0.02,0.035,0.065,0.31,0.845,1.0,0.0019787472875280065,0.015134517036391211,0.028900453343369308,0.053381351111428194,0.0943604611371802,0.13271471238477126,0.15615180258447642
Qwen/Qwen3-8B,1,composition,dev_D,D,3,score,bigram,own_target,200,0.06478741144042102,0.012894733021160301,0.005,0.11,0.28,0.515,0.855,0.995,1.0,0.012894733021160301,0.09422128905019381,0.1717544734316889,0.29295987935234663,0.4563346083019313,0.5738297374396398,0.6323218541678535
