stage,method,verifier,alpha,beta,seed,steps,required
main_grpo,iid_t07,exact,1.0,0.0,0,400_extend_600,yes
main_grpo,iid_t07,exact,1.0,0.0,1,400_extend_600,yes
main_grpo,iid_t07,exact,1.0,0.0,2,400_extend_600,yes
main_grpo,prefix_balanced,exact,1.0,0.0,0,400_extend_600,yes
main_grpo,prefix_balanced,exact,1.0,0.0,1,400_extend_600,yes
main_grpo,prefix_balanced,exact,1.0,0.0,2,400_extend_600,yes
verifier_cross,iid_t07,exact,1.0,0.0,0,400,after_main
verifier_cross,iid_t07,exact,1.0,0.0,1,400,after_main
verifier_cross,iid_t07,exact,1.0,0.0,2,400,after_main
verifier_cross,iid_t07,informative,0.8,0.2,0,400,after_main
verifier_cross,iid_t07,informative,0.8,0.2,1,400,after_main
verifier_cross,iid_t07,informative,0.8,0.2,2,400,after_main
verifier_cross,iid_t07,uninformative,0.5,0.5,0,400,after_main
verifier_cross,iid_t07,uninformative,0.5,0.5,1,400,after_main
verifier_cross,iid_t07,uninformative,0.5,0.5,2,400,after_main
verifier_cross,iid_t07,misleading,0.2,0.8,0,400,after_main
verifier_cross,iid_t07,misleading,0.2,0.8,1,400,after_main
verifier_cross,iid_t07,misleading,0.2,0.8,2,400,after_main
verifier_cross,prefix_balanced,exact,1.0,0.0,0,400,after_main
verifier_cross,prefix_balanced,exact,1.0,0.0,1,400,after_main
verifier_cross,prefix_balanced,exact,1.0,0.0,2,400,after_main
verifier_cross,prefix_balanced,informative,0.8,0.2,0,400,after_main
verifier_cross,prefix_balanced,informative,0.8,0.2,1,400,after_main
verifier_cross,prefix_balanced,informative,0.8,0.2,2,400,after_main
verifier_cross,prefix_balanced,uninformative,0.5,0.5,0,400,after_main
verifier_cross,prefix_balanced,uninformative,0.5,0.5,1,400,after_main
verifier_cross,prefix_balanced,uninformative,0.5,0.5,2,400,after_main
verifier_cross,prefix_balanced,misleading,0.2,0.8,0,400,after_main
verifier_cross,prefix_balanced,misleading,0.2,0.8,1,400,after_main
verifier_cross,prefix_balanced,misleading,0.2,0.8,2,400,after_main
